#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
342,Huascar Ynoa,MIN,2,2,3.73,36,0,0,1,,36.0,152,33,16,15,4,12,1,1,37
343,Chase Silseth,LAA,3,3,4.02,48,2,0,1,,55.0,234,52,26,24,7,20,1,2,54
344,Ryan Brasier,CHC,3,3,3.76,58,0,2,13,,58.0,242,54,26,24,7,17,1,2,57
345,Bryan King,HOU,3,3,3.77,60,0,0,12,,60.0,256,55,27,25,7,24,1,3,60
346,Zack Thompson,STL,2,2,3.63,40,0,0,1,,40.0,170,35,18,16,4,16,1,2,41
347,Brandon Sproat,NYM,2,2,4.20,5,5,0,0,,27.2,119,27,14,13,4,10,0,1,24
348,Logan Allen,CLE,2,2,4.39,6,6,0,0,,35.0,152,35,18,17,5,13,0,1,30
349,Hoby Milner,TEX,3,3,3.80,58,0,0,11,,58.0,247,58,27,24,7,17,1,3,52
350,JT Brubaker,NYY,3,3,4.04,44,2,0,1,,51.0,217,49,25,23,8,15,1,2,50
351,Ryan Thompson,ARI,3,3,3.96,63,0,0,13,,63.0,269,64,30,28,6,20,2,3,51
352,Adam Mazur,MIA,2,3,4.74,6,6,0,0,,35.1,153,38,20,19,6,11,0,1,27
353,Trevor Rogers,BAL,3,3,4.21,27,6,0,1,,55.2,239,55,28,26,7,20,1,2,48
354,Jake Cousins,NYY,3,2,3.85,54,0,0,7,,54.0,233,46,25,23,6,26,1,3,62
355,Brenan Hanifee,DET,2,2,3.71,44,0,0,1,,44.0,186,44,20,18,4,12,1,2,35
356,Tristan Beck,SFG,3,3,3.95,48,2,0,1,,55.0,233,54,26,24,7,15,1,2,49
357,Julian Merryweather,CHC,3,2,3.70,52,0,0,4,,52.0,220,45,23,21,6,21,1,2,57
358,Keaton Winn,SFG,2,2,3.45,42,0,0,1,,42.0,175,39,18,16,4,11,1,2,41
359,Paul Sewald,CLE,3,3,4.03,59,0,1,12,,59.0,250,53,28,26,9,20,2,3,65
360,Joey Wentz,PIT,3,3,4.03,57,0,1,9,,57.0,244,53,27,26,7,22,1,2,56
361,Shane Smith,CHW,3,3,4.01,58,0,0,10,,58.0,247,55,28,26,7,21,1,3,55
362,Calvin Faucher,MIA,3,3,3.92,63,0,22,6,,63.0,271,58,30,27,7,26,2,3,64
363,Emilio Pagán,CIN,3,3,4.38,64,0,3,12,,64.0,272,60,33,31,11,22,1,2,67
364,Carson Whisenhunt,SFG,2,2,3.70,24,3,0,1,,39.1,168,36,18,16,4,15,1,2,40
365,Caden Dana,LAA,4,5,4.98,13,13,0,0,,71.2,315,74,42,40,13,27,0,4,60
366,Jalen Beeks,,2,2,3.78,37,0,0,0,,37.0,158,35,17,16,4,14,1,1,35
367,Mason Adams,CHW,1,2,4.62,5,5,0,0,,27.2,120,30,15,14,4,9,0,2,19
368,Derek Law,WSN,3,4,3.93,72,0,5,13,,72.0,306,69,34,31,8,25,1,3,62
369,Mike Burrows,PIT,2,2,4.27,35,2,0,1,,42.1,181,41,21,20,6,15,1,2,38
370,Quinn Priester,BOS,2,1,3.79,30,0,0,1,,30.0,126,30,14,13,3,9,1,1,27
371,Andrew Kittredge,BAL,3,3,3.90,64,0,2,13,,64.0,269,62,30,28,8,19,2,2,59
372,Clayton Beeter,NYY,1,1,3.75,28,0,0,1,,28.0,119,24,13,12,4,11,1,1,32
373,Daniel Lynch IV,KCR,3,3,4.10,52,2,0,4,,59.0,250,60,29,27,7,16,2,2,48
374,Luke Jackson,TEX,3,3,3.92,55,0,0,10,,55.0,236,50,26,24,6,24,1,2,58
375,José Leclerc,ATH,3,3,3.82,64,0,3,13,,64.0,272,53,29,27,8,28,1,3,72
376,Victor Vodnik,COL,3,3,4.37,66,0,3,11,,66.0,289,66,35,32,8,31,2,3,64
377,Alex Lange,DET,2,2,3.65,39,0,0,1,,39.0,168,33,17,16,4,19,1,2,43
378,Greg Weissert,BOS,3,3,4.17,60,0,0,12,,60.0,257,58,30,28,7,23,2,3,58
379,Jacob Waguespack,TBR,3,3,3.99,43,2,0,1,,50.1,214,47,24,22,6,19,1,2,51
380,Adam Ottavino,BOS,2,2,4.42,44,0,0,1,,44.0,191,42,23,22,5,18,1,3,43
381,Ronny Henriquez,MIA,2,3,4.02,53,0,0,6,,53.0,227,53,26,24,6,18,1,2,45
382,Joe Mantiply,ARI,3,3,3.79,59,0,0,11,,59.0,251,59,27,25,6,19,2,2,50
383,Scott Alexander,COL,3,3,4.31,56,0,0,9,,56.0,243,62,29,27,6,19,2,3,43
384,Tyler Phillips,PHI,2,2,4.04,43,0,0,1,,43.0,183,44,21,19,5,13,1,2,33
385,Jhony Brito,SDP,2,2,4.14,40,2,0,1,,47.0,200,47,23,22,6,15,1,2,37
386,Brusdar Graterol,LAD,1,1,3.62,22,0,0,1,,22.0,93,21,10,9,2,7,1,1,20
387,Tyler Kinley,COL,3,3,4.52,64,0,18,6,,64.0,277,62,34,32,9,26,1,3,66
388,Max Lazar,PHI,2,2,4.20,50,0,0,4,,50.0,214,50,25,23,7,17,1,2,41
389,Jorge López,WSN,3,3,3.98,60,0,7,12,,60.0,257,58,29,27,7,21,3,4,52
390,Drew Smyly,,2,2,3.95,38,0,0,0,,38.0,160,35,18,17,5,12,2,2,37
391,Joe Jiménez,ATL,1,1,3.70,27,0,0,1,,27.0,113,23,12,11,3,9,1,1,31
392,Scott Barlow,CIN,3,3,4.20,58,0,0,7,,58.0,252,54,29,27,8,24,2,3,62
393,Jonathan Bowlan,KCR,2,2,4.18,40,0,0,1,,40.0,171,41,20,19,5,12,1,2,33
394,Porter Hodge,CHC,3,3,3.76,63,0,11,10,,63.0,270,54,29,26,7,29,1,3,68
395,Triston McKenzie,CLE,6,8,4.81,42,18,0,1,,121.2,532,119,69,65,20,52,1,4,115
396,Ty Madden,DET,2,2,3.82,32,0,0,1,,32.0,135,29,15,14,4,10,1,1,31
397,Robert Stephenson,LAA,2,2,3.92,32,0,0,1,,32.0,134,28,15,14,5,11,1,1,37
398,Patrick Sandoval,BOS,1,1,3.76,8,2,0,1,,14.2,63,14,7,6,2,6,0,1,15
399,Wandy Peralta,SDP,3,2,3.73,52,0,0,4,,52.0,223,49,24,22,5,21,1,3,47
400,Tommy Kahnle,DET,3,3,3.69,58,0,2,10,,58.0,249,52,26,24,6,24,1,3,58
401,Josh Sborz,TEX,2,2,3.87,38,0,3,1,,38.0,162,34,18,16,5,15,1,1,41
402,Elvis Peguero,MIL,3,3,3.89,56,0,0,9,,56.0,241,53,26,24,6,23,1,3,53
403,John King,STL,3,3,3.73,59,0,0,12,,59.0,252,62,27,24,5,18,1,2,41
404,Ryan Fernandez,STL,3,3,3.82,65,0,1,16,,65.0,276,59,30,28,7,26,2,2,64
405,José Buttó,NYM,3,3,3.89,63,0,1,16,,63.0,269,57,29,27,8,23,1,3,63
406,Eiberson Castellano,MIN,2,2,3.93,42,0,0,1,,42.0,179,40,20,18,5,15,1,3,41
407,Seth Halvorsen,COL,3,3,4.73,63,0,9,8,,63.0,277,65,36,33,9,27,2,3,57
408,Brendon Little,TOR,3,3,3.62,56,0,0,10,,56.0,241,54,25,23,4,24,1,2,48
409,Andrew Chafin,DET,3,3,3.70,55,0,0,6,,55.0,237,48,25,23,6,24,1,2,59
410,Cooper Criswell,BOS,2,2,4.34,23,2,0,1,,29.2,128,32,16,14,4,8,0,2,23
411,José Quijada,LAA,3,3,4.00,62,0,0,12,,62.0,268,52,30,28,8,31,2,3,72
412,Yilber Diaz,ARI,3,2,4.05,42,2,0,1,,49.0,211,45,24,22,6,20,1,2,51
