#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
335,Josh Winckowski,BOS,3,3,4.02,45,1,0,6,1,56.1,242,58,27,25,6,18,2,2,47
336,Alex Wood,,3,4,4.77,11,10,0,0,0,53.2,236,56,31,28,7,20,1,4,43
337,Trevor Rogers,BAL,2,4,4.47,20,7,0,1,0,52.1,227,52,28,26,6,20,1,2,45
338,Alexis Díaz,CIN,4,4,4.25,62,0,23,3,4,63.2,275,54,33,30,8,32,2,5,67
339,Calvin Faucher,MIA,3,3,4.05,55,0,16,7,4,58.2,255,56,29,26,6,26,2,3,61
340,Daysbel Hernández,ATL,4,2,3.78,45,0,0,8,2,48.0,210,42,22,20,5,25,1,3,56
341,Hunter Gaddis,CLE,4,3,3.79,56,1,1,20,3,62.1,257,55,29,26,8,17,1,4,57
342,Nate Pearson,CHC,3,2,4.03,52,0,2,10,3,56.0,237,50,27,25,8,21,1,3,61
343,Joe Kelly,,1,2,3.84,32,0,0,7,3,32.2,141,27,15,14,3,16,1,2,39
344,Emilio Pagán,CIN,3,4,4.33,56,0,2,13,3,59.0,248,55,31,28,10,20,1,2,62
345,John King,STL,3,3,3.68,54,0,0,12,3,58.0,247,61,26,24,5,16,1,2,39
346,Manuel Rodríguez,TBR,4,4,3.60,57,0,3,15,2,58.2,250,54,26,23,6,21,1,4,57
347,Gabe Speier,SEA,2,2,3.86,47,0,0,12,1,45.1,190,40,21,19,5,16,2,2,50
348,Luke Little,CHC,2,2,3.32,32,0,0,3,0,32.2,141,26,13,12,2,18,1,3,39
349,José Buttó,NYM,4,3,3.73,50,1,1,13,2,63.0,265,52,28,26,7,27,1,3,63
350,Derek Law,WSN,4,4,3.79,64,0,4,17,3,69.1,295,67,32,29,7,23,1,3,59
351,Brandon Sproat,NYM,1,1,4.38,5,5,0,0,0,28.0,120,27,15,14,4,10,0,1,25
352,Garrett Cleavinger,TBR,5,4,3.88,58,0,2,15,3,58.0,248,49,27,25,7,27,1,4,67
353,Craig Yoho,MIL,2,2,3.74,36,0,0,2,0,37.1,158,32,17,15,4,16,0,2,42
354,Adam Mazur,MIA,2,4,5.23,9,8,0,0,0,39.1,172,43,25,23,6,13,0,2,30
355,José Suarez,LAA,3,3,4.50,42,4,2,7,2,63.1,273,61,34,32,9,25,1,3,62
356,Angel Perdomo,ATL,2,2,3.73,43,0,0,8,0,44.2,191,37,20,19,5,21,2,3,56
357,Noah Cameron,KCR,1,2,4.00,18,2,0,1,0,24.2,104,24,12,11,3,7,0,1,23
358,Abner Uribe,MIL,2,2,3.77,37,0,2,4,2,38.2,169,31,18,16,3,24,2,2,44
359,Tyler Ferguson,ATH,3,3,4.12,59,0,2,16,2,63.1,274,54,31,29,7,31,2,4,69
360,Jonathan Loáisiga,NYY,2,2,3.55,31,0,0,4,2,34.1,144,33,15,14,3,10,1,2,27
361,Carmen Mlodzinski,PIT,4,4,4.02,51,1,1,10,2,57.2,248,55,28,26,6,23,1,3,52
362,Kody Funderburk,MIN,2,1,4.15,33,0,0,5,0,37.0,161,35,19,17,3,15,1,2,37
363,Kyle Bradish,BAL,1,1,3.42,6,2,0,0,0,13.1,55,11,6,5,1,4,0,1,14
364,Bobby Miller,LAD,3,2,4.24,29,4,0,1,0,47.1,202,44,24,22,6,17,0,2,47
365,Anthony Banda,LAD,3,2,4.01,49,1,0,9,1,52.2,227,50,25,23,6,21,2,3,53
366,Cooper Criswell,BOS,2,2,4.40,20,3,0,1,0,35.0,151,37,19,17,4,10,1,2,27
367,Brusdar Graterol,LAD,1,1,3.13,19,0,1,4,1,20.0,82,18,8,7,1,5,0,1,17
368,Jhony Brito,SDP,3,3,4.23,30,3,0,1,1,46.2,199,47,24,22,6,14,1,2,35
369,Randy Rodríguez,SFG,3,2,4.16,41,0,0,6,1,48.0,208,44,24,22,5,21,1,3,48
370,Jorge Alcala,MIN,3,3,4.05,55,0,0,15,2,59.0,247,51,29,27,8,22,1,3,61
371,Jordan Wicks,CHC,3,3,4.43,18,7,0,1,0,46.0,198,46,25,23,7,17,0,2,41
372,Dylan Floro,ATH,3,3,3.84,53,0,0,6,1,55.1,235,56,26,24,5,17,1,2,43
373,Hans Crouse,LAA,4,3,4.17,49,0,0,8,2,51.2,222,44,26,24,7,25,1,2,61
374,Carson Whisenhunt,SFG,1,1,4.05,13,3,0,1,0,25.1,110,24,12,11,3,10,0,1,25
375,Seranthony Domínguez,BAL,4,4,3.88,60,0,5,13,4,60.0,253,53,28,26,8,23,1,3,65
376,Yilber Diaz,ARI,3,3,4.16,32,3,0,1,0,51.1,221,46,26,24,6,23,1,2,54
377,John Means,CLE,2,1,3.29,6,5,0,0,0,26.1,106,22,11,10,4,6,0,1,20
378,Brennan Bernardino,BOS,3,2,3.98,43,1,0,10,1,43.1,187,41,21,19,5,17,3,3,45
379,Louis Varland,MIN,3,4,4.42,40,3,0,4,0,57.2,245,58,31,28,8,17,1,2,56
380,Keaton Winn,SFG,2,2,4.34,22,2,0,0,0,32.0,134,30,17,15,4,9,0,2,29
381,Angel Zerpa,KCR,2,2,3.90,50,0,0,11,1,53.0,227,53,25,23,5,17,1,2,47
382,Tink Hence,STL,1,1,4.33,4,4,0,0,0,21.0,89,20,11,10,3,7,0,1,18
383,Justin Wilson,BOS,2,3,4.44,51,0,0,9,1,49.0,211,49,26,24,7,17,1,2,51
384,Danny Young,NYM,3,2,3.91,47,0,0,10,0,47.2,207,42,23,21,4,21,1,5,53
385,Cole Irvin,,2,3,4.86,11,8,0,0,0,49.1,214,54,29,27,8,13,0,3,35
386,John Brebbia,DET,2,3,4.28,47,1,0,10,2,47.0,198,44,24,22,7,16,1,2,50
387,Connor Thomas,MIL,2,2,4.03,36,0,0,4,0,39.2,171,43,19,18,4,11,1,2,30
388,Adam Ottavino,BOS,2,2,4.18,38,0,1,6,2,38.2,167,35,20,18,4,16,1,3,40
389,Jake Cousins,NYY,3,2,3.79,48,0,1,11,1,50.0,215,40,23,21,6,26,1,4,60
390,Joey Estes,ATH,6,8,5.20,26,19,0,1,0,106.2,455,109,67,62,22,27,2,8,84
391,Chayce McDermott,BAL,2,2,4.24,20,5,0,1,0,41.0,176,34,21,19,5,21,1,2,46
392,Mike Burrows,PIT,3,2,4.42,27,2,0,1,0,39.0,168,38,21,19,5,15,0,2,36
393,Drew Rom,STL,1,1,4.23,6,2,0,0,0,12.1,54,12,6,6,1,5,0,0,12
394,Walter Pennington,TEX,3,2,3.92,34,0,0,2,1,37.0,159,35,17,16,3,15,1,2,35
395,Andrew Chafin,DET,3,3,3.84,49,0,1,10,2,48.1,208,43,22,21,5,23,1,2,54
396,Josh Sborz,TEX,2,2,4.10,27,0,1,6,1,30.0,126,27,15,14,3,12,0,1,33
397,Clayton Beeter,NYY,2,1,3.98,27,0,0,2,0,32.0,137,27,15,14,4,15,0,1,37
398,Justin Topa,MIN,3,2,3.68,39,0,1,7,2,40.0,171,39,18,16,4,13,1,2,35
399,Ross Stripling,KCR,1,2,4.78,20,4,0,1,0,35.1,150,39,20,19,5,8,0,1,25
400,Luis Peralta,COL,1,2,4.40,55,0,2,10,0,56.0,250,53,30,27,6,30,1,4,62
401,Joe Jiménez,ATL,1,1,3.58,20,0,0,3,0,21.0,86,17,9,8,2,7,0,1,25
402,Jacob Waguespack,TBR,2,2,4.22,31,2,0,2,0,43.0,186,41,22,20,5,18,1,2,44
403,Tyson Miller,CHC,4,2,3.92,52,0,1,13,2,57.0,238,52,27,25,7,18,1,3,52
404,Ryan Zeferjahn,LAA,2,3,4.45,48,0,1,7,1,57.0,249,52,31,28,7,27,2,4,60
405,Matt Manning,DET,2,2,4.11,25,4,0,1,0,45.2,192,43,23,21,6,15,0,2,38
406,Shane Smith,CHW,2,3,4.12,45,1,0,7,1,54.1,231,50,27,25,7,20,0,3,53
407,Robert Stephenson,LAA,2,2,3.95,31,0,0,5,2,31.2,131,28,15,14,5,10,1,1,37
408,Jacob Webb,TEX,2,4,4.14,59,0,4,15,1,60.1,259,53,30,28,8,27,2,3,61
409,Cionel Pérez,BAL,3,2,3.82,53,0,1,13,1,52.0,227,49,24,22,4,25,1,3,46
410,Jordan Romano,PHI,4,4,3.87,49,0,22,4,6,52.1,219,46,24,22,7,19,2,3,55
411,Hunter Bigge,TBR,2,2,4.15,49,0,0,8,0,50.0,216,45,25,23,7,24,1,2,55
412,Eduard Bazardo,SEA,2,1,3.86,35,0,1,2,0,39.0,162,34,18,17,4,13,0,2,40
413,Andrew Walters,CLE,3,1,3.96,45,0,0,4,1,44.0,189,38,21,19,5,22,0,2,48
414,Trent Thornton,SEA,3,3,3.77,59,0,2,11,2,63.1,263,57,29,26,8,19,1,3,62
415,Julian Merryweather,CHC,2,2,3.99,42,0,0,7,2,44.2,192,40,22,20,5,19,1,3,49
416,Domingo Germán,,1,2,4.96,7,5,0,0,0,33.1,140,30,20,18,6,12,1,2,29
417,Stephen Kolek,SDP,3,2,4.45,32,2,0,2,1,41.0,178,43,22,20,4,14,1,3,34
418,Michael Grove,LAD,2,2,4.05,33,0,0,5,0,39.1,165,37,19,18,5,12,1,2,41
419,Andrew Kittredge,BAL,4,4,3.71,60,0,4,20,5,61.1,256,58,28,25,8,16,1,2,56
420,Mason Black,SFG,2,4,4.71,25,5,0,1,0,47.1,207,48,27,25,7,18,1,3,43
421,Craig Kimbrel,,4,3,3.99,43,0,4,4,4,46.0,197,38,22,20,6,22,1,3,55
422,Caleb Kilian,CHC,1,1,4.43,16,2,0,1,0,26.1,114,26,14,13,3,10,0,2,21
423,Adrian Houser,TEX,1,3,4.86,10,4,0,0,0,36.0,158,38,21,19,4,13,0,2,24
424,Zack Thompson,STL,2,3,4.30,35,1,0,3,0,45.0,197,42,23,22,6,22,1,2,46
425,Forrest Whitley,HOU,2,1,3.95,38,0,0,5,0,40.2,178,37,19,18,5,19,0,3,44
426,Sam Hentges,CLE,1,0,3.55,16,0,0,5,0,17.0,70,15,7,7,1,6,0,0,18
427,Eli Morgan,CHC,3,2,3.98,42,0,0,4,2,46.2,195,43,22,21,7,14,1,2,44
428,Ty Madden,DET,2,2,4.20,25,1,0,1,0,32.2,140,31,17,15,4,12,0,1,31
429,Luke Jackson,TEX,3,2,4.11,47,0,1,8,2,50.0,216,46,25,23,6,22,1,2,53
430,Bryse Wilson,CHW,4,6,4.79,33,11,0,1,0,91.0,391,95,53,48,16,27,1,4,68
431,Caden Dana,LAA,4,5,4.98,12,12,0,0,0,62.0,268,61,37,34,11,23,0,3,53
432,Jalen Beeks,,2,2,4.09,35,0,0,5,2,37.2,162,37,19,17,4,15,1,2,35
433,Sean Guenther,DET,3,2,3.70,38,0,0,3,1,41.1,174,41,18,17,4,12,1,2,33
434,Joey Wentz,PIT,2,4,4.55,50,1,0,5,0,62.0,271,62,34,31,8,26,1,2,61
435,Erik Sabrowski,CLE,3,2,3.66,46,0,0,7,2,51.0,221,44,23,21,6,27,0,2,59
436,Logan Allen,CLE,2,2,4.62,6,6,0,0,0,32.1,142,33,18,17,5,13,0,1,28
437,Patrick Sandoval,BOS,1,1,4.01,6,2,0,0,0,15.1,66,14,7,7,1,6,0,1,15
438,Elvis Peguero,MIL,4,4,3.82,50,0,0,12,3,52.2,228,50,24,22,5,22,1,3,48
439,Ian Seymour,TBR,1,2,4.26,14,3,0,1,0,27.2,117,26,14,13,4,9,0,1,26
440,Phil Maton,,2,2,4.11,50,0,0,7,1,50.2,216,45,25,23,6,19,1,5,49
441,Carson Seymour,SFG,1,1,3.98,19,1,0,1,0,22.2,97,22,11,10,2,8,0,1,19
442,Keider Montero,DET,2,3,4.47,18,5,0,1,0,41.2,179,41,23,21,6,15,1,2,36
443,Trevor McDonald,SFG,2,2,3.93,24,0,0,1,0,31.2,135,31,15,14,3,10,0,2,25
444,Brent Suter,CIN,2,2,4.08,51,0,0,7,1,59.1,253,61,29,27,8,17,1,2,47
445,Riley O'Brien,STL,2,2,4.28,41,0,0,4,2,44.1,194,41,23,21,5,22,1,3,45
446,Tyler Alexander,MIL,3,3,4.62,31,3,0,2,0,51.1,215,53,29,26,9,11,1,2,44
447,Daniel Palencia,CHC,2,2,4.25,24,0,0,1,0,26.2,116,22,14,13,2,14,0,1,30
448,Victor Vodnik,COL,4,4,4.49,57,0,5,9,4,63.0,280,64,34,31,7,31,1,2,59
449,Gunnar Hoglund,ATH,3,4,4.70,27,6,0,1,0,55.2,235,54,32,29,9,16,1,3,44
450,Alex Lange,DET,2,2,3.85,30,0,3,3,2,30.1,133,25,14,13,2,17,0,2,34
451,Ronny Henriquez,MIA,2,2,4.18,35,0,0,5,0,40.1,175,42,20,19,5,13,1,2,35
452,Hunter Stratton,PIT,1,1,4.09,22,0,0,3,2,23.1,100,22,12,11,3,9,0,1,22
453,Daniel Lynch IV,KCR,3,3,4.30,34,3,0,3,0,53.0,226,53,28,25,7,16,0,2,43
454,Huascar Brazobán,NYM,2,2,4.03,38,0,0,5,3,42.0,182,37,20,19,4,20,1,2,43
455,Richard Fitts,BOS,2,3,4.53,25,4,0,1,0,46.1,199,48,25,23,7,14,1,2,37
456,Bryan Hoeing,SDP,3,3,4.09,50,1,0,8,0,62.0,262,60,31,28,7,19,1,2,50
457,Evan Sisk,KCR,1,1,3.97,21,0,0,1,1,22.0,95,20,10,10,2,10,1,1,21
458,Pedro Avila,,2,1,4.10,20,1,0,1,0,37.2,163,34,19,17,4,17,1,2,37
459,Joe Rock,TBR,1,2,4.14,15,2,0,1,0,23.0,98,23,12,11,3,7,0,1,19
460,Dauri Moreta,PIT,2,1,4.13,29,0,0,2,1,30.0,127,26,15,14,4,12,1,2,32
461,Nic Enright,CLE,2,2,3.87,29,0,0,2,0,30.0,125,27,14,13,4,9,1,1,31
462,Greg Weissert,BOS,3,2,4.00,53,0,0,8,2,55.2,239,54,27,25,7,21,2,3,54
463,Bryan Baker,BAL,2,2,4.09,35,0,0,4,1,37.0,157,33,18,17,5,16,1,1,38
464,Yosver Zulueta,CIN,2,2,4.38,35,0,0,2,1,39.1,176,38,21,19,4,20,1,3,39
465,Chase Petty,CIN,1,1,4.87,9,3,0,0,0,20.0,88,21,12,11,3,8,0,1,16
466,Troy Taylor,SEA,2,2,3.91,46,0,1,9,1,45.2,193,41,21,20,6,18,0,2,45
467,Alek Manoah,TOR,1,1,4.24,9,3,0,1,0,21.0,90,19,11,10,3,8,0,2,20
468,Drew Smyly,,3,3,4.27,36,1,0,3,1,43.0,183,41,22,20,7,15,1,2,42
469,Jake Bloss,TOR,2,3,4.78,18,6,0,1,0,41.1,179,41,24,22,7,16,0,1,35
470,Brandon Young,BAL,1,1,3.98,16,1,0,1,0,20.0,84,19,10,9,2,7,0,1,20
471,Trevor Stephan,CLE,2,2,3.99,26,0,1,6,2,27.1,116,25,13,12,3,10,1,2,29
472,Eiberson Castellano,MIN,2,2,4.18,28,1,0,2,0,31.1,135,30,16,15,4,12,0,2,30
473,Chase Lee,DET,1,1,3.72,20,0,0,1,0,20.1,85,19,9,8,2,7,0,1,19
474,Carlos Rodriguez,MIL,1,2,4.55,10,3,0,1,0,21.1,91,20,12,11,3,8,0,1,19
475,Chase Silseth,LAA,2,2,4.37,28,4,0,1,0,44.1,190,41,23,22,7,19,0,2,44
476,Robby Snelling,MIA,1,2,4.81,5,5,0,0,0,25.0,111,27,15,13,4,10,0,1,19
477,Thomas Harrington,PIT,0,1,4.41,4,3,0,0,0,14.0,60,14,8,7,2,4,0,0,11
478,Richard Lovelady,TOR,2,2,4.04,22,0,0,2,2,23.0,97,22,11,10,2,7,1,1,21
479,Drey Jameson,ARI,3,2,3.90,34,1,0,2,0,42.1,182,41,20,18,5,16,0,2,39
480,Sean Reid-Foley,NYM,2,2,3.97,41,0,0,6,1,43.0,186,37,21,19,5,23,0,2,47
481,José Quijada,LAA,3,4,4.11,51,0,1,14,3,52.0,226,43,26,24,6,29,1,3,60
482,James McArthur,KCR,2,3,4.29,30,0,1,5,2,32.2,140,33,17,16,4,10,1,2,29
483,Quinn Priester,BOS,2,2,4.40,22,1,0,1,0,31.2,136,32,17,15,4,11,0,2,26
484,Luis Contreras,HOU,1,1,4.40,27,0,0,1,0,30.0,128,27,16,15,4,12,0,2,30
485,Peter Strzelecki,PIT,1,2,4.26,24,0,0,3,1,25.1,110,25,13,12,3,9,1,2,23
486,Chris Flexen,CHC,1,2,4.63,23,2,0,1,0,33.2,145,35,19,17,5,11,1,1,27
487,Cody Poteet,CHC,2,1,3.75,19,1,0,1,0,26.2,111,24,12,11,3,9,0,1,24
488,Edgardo Henriquez,LAD,1,1,4.29,26,0,1,3,1,28.1,123,25,15,13,3,14,0,1,30
489,Sean Reynolds,SDP,1,1,4.18,35,0,0,4,0,40.0,177,37,20,19,4,20,1,2,43
490,Tommy Nance,TOR,2,3,4.26,36,0,0,4,2,39.1,169,39,20,19,5,14,2,2,36
491,Sam Aldegheri,LAA,1,1,4.99,3,3,0,0,0,15.2,69,15,9,9,2,8,0,1,14
492,Mason Adams,CHW,1,1,4.74,4,3,0,0,0,19.0,82,20,11,10,3,6,0,1,13
493,Davis Daniel,ATL,1,1,4.45,14,1,0,1,0,19.1,83,20,10,10,3,6,0,1,17
494,Mason Montgomery,TBR,2,3,4.09,48,0,1,12,3,55.0,236,52,27,25,7,22,1,2,59
495,Ken Waldichuk,ATH,1,1,5.17,7,5,0,0,0,28.2,126,29,18,16,5,13,0,2,28
496,Chris Roycroft,STL,2,2,4.24,30,0,0,2,2,35.0,154,34,18,17,3,16,1,2,31
497,Eduardo Salazar,WSN,2,2,4.38,42,0,0,6,0,50.1,226,56,27,24,4,20,1,4,39
498,Tyler Stuart,WSN,1,1,3.99,24,0,0,1,0,26.0,110,25,13,12,3,8,0,1,23
499,Chad Green,TOR,4,4,4.00,55,0,7,14,4,57.2,240,53,28,26,9,17,2,2,55
500,Héctor Neris,ATL,5,4,3.91,51,0,3,10,3,52.1,222,45,25,23,7,22,1,3,55
501,Tayler Saucedo,SEA,2,2,3.81,55,0,1,10,1,53.1,230,48,25,23,5,23,2,3,50
502,Wade Miley,CIN,1,1,4.46,5,4,0,0,0,22.2,98,22,12,11,3,8,0,1,15
503,Luis García,LAD,2,1,3.99,27,0,0,2,1,28.0,119,28,13,12,3,8,1,2,25
504,Michael Kopech,LAD,3,3,3.91,48,0,5,11,3,52.2,223,42,25,23,7,25,1,3,65
505,Dillon Tate,,2,2,4.24,32,0,0,2,1,34.2,150,35,18,16,4,11,0,3,26
506,Domingo Gonzalez,ATL,2,2,4.21,34,0,0,3,0,36.1,157,34,19,17,4,15,1,3,38
507,Brandon Eisert,CHW,1,1,4.11,21,0,0,2,0,24.0,102,23,12,11,3,9,0,1,22
508,Franco Aleman,CLE,2,2,3.97,27,0,0,2,0,29.1,125,27,14,13,4,10,0,2,29
509,Tommy Kahnle,DET,1,2,3.53,46,0,2,13,1,46.2,198,39,20,18,5,20,1,2,48
510,Michael Tonkin,MIN,3,3,4.23,50,0,0,8,1,58.1,249,54,30,27,7,22,1,4,59
511,Tim Mayza,PIT,2,2,4.18,47,0,0,9,2,45.1,197,48,23,21,5,15,1,2,35
512,Fraser Ellard,CHW,3,5,4.27,60,0,4,9,3,61.1,269,57,32,29,7,31,3,3,62
513,Carson Ragsdale,SFG,1,1,4.02,18,0,0,1,0,20.1,87,19,10,9,2,8,0,1,21
514,Ryan Gusto,HOU,2,2,4.48,23,3,0,1,0,39.0,168,39,21,19,5,14,1,2,33
515,Lou Trivino,SFG,2,2,4.26,33,0,0,5,1,35.0,152,34,18,17,4,14,1,2,33
516,Carson Spiers,CIN,3,3,5.02,30,2,0,1,0,50.0,219,54,30,28,9,17,0,3,44
517,JT Brubaker,NYY,3,3,4.44,32,2,0,2,0,44.2,192,44,24,22,7,15,0,3,43
518,Collin Snider,SEA,4,3,3.87,54,0,1,11,3,56.1,243,54,26,24,7,24,1,2,53
519,Austin Adams,BOS,1,1,4.46,29,0,0,6,2,27.1,122,24,15,13,3,15,1,4,32
520,Noah Syndergaard,,1,1,5.09,3,3,0,0,0,19.0,82,21,12,11,3,5,0,1,13
521,Anthony Molina,COL,1,1,5.31,21,0,0,1,1,27.1,121,32,18,16,3,8,1,1,19
522,Evan Reifert,WSN,2,2,4.27,40,0,1,5,0,42.0,182,37,22,20,5,20,1,3,44
523,Adam Macko,TOR,1,1,4.61,5,3,0,0,0,17.0,74,17,9,9,2,7,0,1,15
524,Kevin Herget,NYM,1,1,4.15,24,0,0,2,0,29.0,122,28,14,13,4,8,1,1,25
525,Grant Holman,ATH,2,2,4.19,51,0,0,13,2,51.0,221,47,26,24,6,22,2,3,50
526,Bennett Sousa,HOU,2,2,4.01,29,0,0,2,0,30.2,131,29,15,14,4,12,1,1,30
527,Chad Patrick,MIL,1,1,4.20,25,1,0,1,0,27.0,114,26,14,13,4,8,0,1,25
528,Colin Selby,BAL,2,2,4.06,31,0,0,2,2,33.2,146,31,17,15,3,15,1,2,35
529,Taijuan Walker,PHI,3,4,4.84,33,5,0,1,0,61.0,265,62,36,33,10,22,0,3,46
530,Sixto Sánchez,MIA,0,1,5.08,4,3,0,1,0,14.0,63,16,9,8,1,5,0,1,8
531,Anderson Pilar,ATL,1,2,4.19,30,0,0,4,0,32.0,138,32,16,15,4,11,1,2,29
532,Michael Flynn,TBR,1,1,4.66,12,0,0,0,0,13.2,57,13,8,7,2,5,0,0,14
533,Marc Church,TEX,2,3,4.36,36,0,0,3,0,40.1,172,38,21,19,6,15,1,2,42
534,Jimmy Herget,COL,1,2,4.65,29,0,1,3,2,33.0,142,35,19,17,5,10,1,1,29
535,Colton Gordon,HOU,1,1,4.20,13,2,0,1,0,20.1,86,19,10,10,3,6,0,1,18
536,Michael Fulmer,BOS,2,3,4.24,41,0,0,7,3,42.2,185,40,22,20,5,18,1,2,42
537,Alek Jacob,SDP,1,1,4.13,27,0,0,2,0,34.1,149,33,17,16,4,14,0,2,35
538,Keegan Thompson,CHC,3,2,3.99,42,1,1,7,0,52.1,222,43,25,23,6,25,0,2,54
539,Jake Bird,COL,1,2,4.67,39,0,1,4,3,43.0,191,45,24,22,5,18,1,3,37
540,Marco Gonzales,,1,1,4.73,4,3,0,0,0,16.2,73,18,10,9,2,6,0,0,12
541,Cristian Javier,HOU,1,1,4.14,15,1,0,1,0,21.0,89,18,11,10,3,9,0,1,22
542,Justin Sterner,ATH,2,2,4.43,33,0,0,3,2,40.1,172,37,22,20,6,15,3,2,42
543,Kyle Muller,,1,1,5.67,11,4,0,0,0,38.1,171,45,26,24,6,14,1,1,30
544,Jack Neely,CHC,0,0,4.25,14,0,0,1,1,14.1,60,13,7,7,2,5,0,0,15
545,Buck Farmer,ATL,2,2,4.29,48,0,0,7,1,52.1,225,48,27,25,7,22,1,3,51
546,J.B. Bukauskas,MIL,0,0,3.81,17,0,0,3,1,17.2,76,16,8,8,2,8,1,1,18
547,Emerson Hancock,SEA,3,3,4.54,17,8,0,1,0,53.1,227,51,29,27,8,18,0,3,38
548,Omar Cruz,SDP,1,1,4.11,19,0,0,1,0,21.1,92,20,11,10,2,9,0,1,22
549,Jacob Lopez,ATH,1,1,4.09,19,0,0,1,0,24.1,104,21,12,11,3,10,0,2,24
550,Carlos Hernández,KCR,1,3,4.44,38,0,0,4,2,42.0,182,39,23,21,5,19,1,2,41
551,Tyler Wells,BAL,1,1,4.25,15,1,0,1,0,20.0,83,19,10,9,3,6,0,1,19
552,Tyler Kinley,COL,3,3,4.89,58,0,11,9,2,58.2,257,58,35,32,9,26,1,3,62
553,T.J. McFarland,ATH,2,3,4.31,58,0,0,13,1,52.0,226,53,27,25,5,17,2,4,39
554,Ryne Stanek,NYM,4,3,3.98,55,0,1,13,3,55.1,235,47,27,24,7,26,1,2,62
555,Kyle Finnegan,WSN,3,4,4.03,56,0,21,4,5,61.0,260,58,30,27,8,23,2,2,58
556,Ryan Loutos,STL,1,0,4.14,23,0,0,1,1,22.0,96,23,11,10,2,9,0,1,19
557,Trey McGough,CHW,0,0,3.63,8,0,0,0,0,10.0,41,9,4,4,1,3,0,0,8
558,Nick Robertson,TOR,1,1,4.19,30,0,0,2,0,34.0,145,32,17,16,4,13,1,1,33
559,Ryan Yarbrough,TOR,3,2,4.17,28,1,0,2,1,41.0,172,39,21,19,5,11,1,3,30
560,Brooks Raley,,1,1,3.95,21,0,1,4,1,21.1,91,19,10,9,3,8,0,1,21
561,Jhonathan Díaz,SEA,0,1,4.35,3,2,0,0,0,11.0,49,11,6,5,1,4,0,1,9
562,Kyle Nelson,ARI,2,1,4.12,28,0,0,4,1,27.1,117,26,14,13,4,10,1,1,27
563,Gordon Graceffo,STL,2,2,4.55,20,2,0,1,0,34.1,150,36,19,17,4,12,1,1,27
564,Joe La Sorsa,CIN,1,1,4.44,18,0,0,1,0,23.0,97,22,12,11,3,6,1,1,18
565,Bradley Blalock,COL,1,2,5.27,16,3,0,1,0,30.0,132,32,19,18,4,12,0,1,23
566,Enyel De Los Santos,ATL,1,1,4.18,26,0,0,3,1,27.0,115,25,14,13,4,10,1,2,28
567,Tyler Phillips,PHI,2,2,4.94,23,2,0,1,0,33.1,146,36,20,18,5,11,0,1,26
568,Shawn Dubin,HOU,1,2,4.12,30,0,0,2,0,34.2,153,32,17,16,4,17,0,2,36
569,Ethan Small,SFG,1,1,4.05,14,0,0,1,0,16.2,72,16,8,7,2,7,0,1,16
570,Josh Staumont,CIN,1,1,4.54,21,0,1,2,1,21.1,94,20,12,11,3,11,0,1,21
571,Hunter Dobbins,BOS,1,1,4.04,9,0,0,0,0,9.2,42,10,5,4,1,3,0,1,9
572,Ryan Webb,CLE,1,1,4.12,19,0,0,1,0,20.1,89,20,10,9,2,8,0,1,19
573,Sem Robberse,STL,1,1,4.18,18,0,0,1,0,22.1,95,22,11,10,3,7,0,1,19
574,Tekoah Roby,STL,1,1,4.96,1,1,0,0,0,8.1,36,8,5,5,1,3,0,0,7
575,J.P. France,HOU,2,2,4.49,14,3,0,1,0,26.1,114,26,14,13,4,10,0,1,23
576,Josh Simpson,MIA,1,2,4.10,27,0,0,2,0,28.1,123,26,14,13,3,13,0,2,29
577,Hurston Waldrep,ATL,1,2,4.70,12,3,0,1,0,24.0,107,24,14,13,3,11,0,1,22
578,Huascar Ynoa,MIN,1,1,4.23,18,0,0,1,0,19.2,84,19,10,9,2,8,0,1,19
579,Jonathan Bowlan,KCR,2,3,4.53,22,1,0,1,0,27.1,118,29,15,14,4,9,0,1,23
580,Joely Rodríguez,BOS,1,1,4.16,22,0,0,3,1,23.0,100,23,12,11,2,9,0,1,20
581,Luis Guerrero,BOS,1,1,4.11,24,0,0,3,1,27.1,118,25,13,12,3,13,0,1,28
582,Matt Gage,DET,1,0,4.12,12,0,0,0,1,15.2,67,14,8,7,2,7,0,1,15
583,Ryan Borucki,PIT,1,1,4.21,17,0,0,3,1,18.1,78,17,9,9,2,6,0,1,17
584,Seth Martinez,SEA,2,2,4.10,35,0,0,3,0,44.0,192,44,22,20,5,17,1,3,37
585,Allan Winans,NYY,1,3,5.00,10,3,0,0,0,22.2,98,24,14,13,3,8,0,1,18
586,Hunter Barco,PIT,0,1,4.44,1,1,0,0,0,6.2,29,6,4,3,1,3,0,0,5
587,Carson Palmquist,COL,1,1,5.20,4,3,0,0,0,17.0,76,17,11,10,3,8,0,1,15
588,José Urquidy,,1,1,4.67,4,3,0,0,0,16.1,69,16,9,8,3,5,0,1,12
589,Rob Zastryzny,NYY,0,0,4.31,8,1,0,0,0,7.2,34,7,4,4,1,4,0,0,8
590,Luis Curvelo,TEX,1,1,4.52,30,0,0,3,0,31.1,133,29,17,16,4,11,1,2,30
591,Phil Bickford,CHC,1,1,4.88,14,0,0,1,0,16.1,69,15,10,9,2,6,0,1,17
