#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
148,Quinn Mathews,STL,5,5,4.04,23,16,0,0,0,90.1,385,83,44,41,11,35,0,4,85
149,Javier Assad,CHC,7,6,4.23,33,22,0,0,0,126.2,546,123,65,60,16,49,1,5,105
150,Lance Lynn,,7,7,4.54,20,20,0,0,0,107.1,459,105,59,54,17,37,1,5,101
151,Bubba Chandler,PIT,6,6,4.43,17,17,0,0,0,91.2,395,87,49,45,12,37,0,5,85
152,Joey Cantillo,CLE,5,6,4.04,29,13,0,1,0,83.2,358,73,41,38,10,38,1,3,89
153,Frankie Montas,NYM,6,6,4.36,18,17,0,0,0,90.0,385,85,47,44,12,35,1,3,85
154,Orion Kerkering,PHI,4,3,3.02,58,0,6,14,2,60.2,249,51,22,20,5,18,1,4,70
155,Zebby Matthews,MIN,4,5,4.24,28,12,0,1,0,78.0,324,78,40,37,12,16,1,3,74
156,Hayden Birdsong,SFG,7,7,4.19,31,18,0,1,0,103.1,444,89,52,48,13,49,1,6,113
157,Griffin Jax,MIN,5,4,3.16,62,0,7,17,5,65.1,264,53,25,23,6,17,1,3,77
158,Yariel Rodríguez,TOR,4,6,4.17,38,13,0,1,0,89.1,382,77,45,41,11,41,1,5,93
159,Davis Martin,CHW,4,8,4.55,23,23,0,0,0,120.0,519,118,66,61,18,44,2,7,106
160,Chase Dollander,COL,4,5,4.90,17,16,0,0,0,86.0,378,86,51,47,12,36,0,6,82
161,Osvaldo Bido,ATH,6,7,4.44,32,15,0,1,0,101.1,435,92,54,50,13,41,2,8,94
162,Paul Blackburn,NYM,6,5,4.43,35,15,0,1,0,103.2,444,105,55,51,14,33,1,4,87
163,Félix Bautista,BAL,4,3,2.70,52,0,27,2,4,55.1,224,38,18,17,5,23,1,2,80
164,Dustin May,LAD,5,3,3.63,37,7,0,3,0,71.2,299,61,31,29,7,25,1,4,70
165,Tylor Megill,NYM,5,4,4.03,38,9,0,1,0,79.0,336,73,38,35,9,30,1,3,82
166,Michael Lorenzen,KCR,8,8,4.45,39,22,0,0,0,137.1,595,132,74,68,18,58,1,6,107
167,Luis L. Ortiz,CLE,8,8,4.34,33,24,0,0,1,147.1,631,141,77,71,20,54,2,7,122
168,Mitch Spence,ATH,6,7,4.51,28,20,0,0,0,122.0,524,126,66,61,18,37,1,5,97
169,Jeff Hoffman,TOR,3,2,3.08,60,0,25,5,3,62.0,253,48,23,21,7,21,1,3,77
170,Aaron Bummer,ATL,5,3,3.48,60,0,1,12,4,62.0,265,56,26,24,4,25,2,3,71
171,Ben Brown,CHC,3,2,3.58,25,5,0,2,0,48.1,201,40,21,19,5,18,1,2,56
172,Jordan Montgomery,ARI,7,6,4.30,32,16,0,1,0,105.0,450,109,55,50,13,32,1,3,83
173,Alec Marsh,KCR,6,7,4.62,26,17,0,0,0,95.2,412,93,53,49,14,35,1,6,92
174,Tanner Scott,LAD,5,4,2.96,63,0,21,6,4,65.2,275,50,23,22,5,31,2,3,80
175,Clayton Kershaw,LAD,4,3,3.74,11,10,0,0,0,54.0,224,51,24,22,7,15,1,2,50
176,Jonathan Cannon,CHW,6,11,4.79,29,26,0,0,0,152.0,657,156,88,81,23,52,1,6,112
177,Chris Martin,TEX,4,2,3.25,54,0,14,9,4,56.2,229,53,22,20,6,9,1,2,58
178,Robert Garcia,TEX,4,4,3.36,61,0,9,14,3,62.2,259,53,25,23,6,21,2,2,70
179,Aaron Ashby,MIL,4,6,4.13,32,11,1,4,1,84.2,371,79,42,39,8,41,1,4,83
180,Andrew Painter,PHI,3,3,4.23,15,11,0,0,0,62.0,261,57,32,29,8,22,0,3,61
181,Marcus Stroman,NYY,6,7,4.43,31,17,0,2,0,110.0,476,111,59,54,13,40,1,5,86
182,Josh Hader,HOU,5,4,3.22,61,0,33,1,4,62.2,253,44,24,22,8,25,1,3,87
183,Keegan Akin,BAL,4,2,3.49,60,0,1,11,1,67.0,273,57,28,26,8,19,2,2,74
184,Landen Roupp,SFG,2,2,3.74,32,5,0,1,0,58.0,247,51,26,24,5,26,1,2,57
185,Bryan Abreu,HOU,3,2,3.15,68,0,5,22,4,71.1,296,55,27,25,7,30,1,4,93
186,Kyle Hendricks,LAA,5,8,5.04,22,22,0,0,0,116.0,501,126,71,65,19,33,1,4,81
187,Lucas Erceg,KCR,4,3,3.54,61,0,14,15,4,64.2,273,56,28,25,5,24,1,5,74
188,Kyle Wright,KCR,5,5,4.32,26,12,0,1,0,78.1,338,78,41,38,9,28,0,5,69
189,Colin Rea,CHC,7,7,4.58,29,19,0,1,0,116.1,494,118,64,59,18,32,1,5,92
190,Andrés Muñoz,SEA,4,4,2.73,57,0,27,4,5,59.2,243,44,20,18,5,23,2,3,76
191,Austin Gomber,COL,7,11,5.19,28,28,0,0,0,159.0,690,179,100,92,29,45,2,4,112
192,Raisel Iglesias,ATL,5,3,3.15,64,0,34,1,4,66.2,269,57,25,23,7,16,2,2,72
193,DL Hall,MIL,4,4,4.21,33,10,0,4,0,72.0,313,66,37,34,9,34,1,4,76
194,Devin Williams,NYY,5,3,2.87,56,0,31,2,4,58.1,240,40,20,19,5,27,1,3,79
195,Jeremiah Estrada,SDP,4,3,3.32,59,0,4,16,2,60.2,250,47,24,22,7,26,2,2,83
196,A.J. Puk,ARI,4,4,3.36,60,0,12,14,4,63.0,259,52,26,23,6,21,2,3,75
197,Justin Martinez,ARI,4,3,3.27,61,0,20,9,3,66.2,285,54,26,24,4,34,3,4,82
198,Cade Cavalli,WSN,4,4,4.28,22,12,0,1,0,73.0,315,68,38,35,9,30,0,5,69
199,Cade Povich,BAL,5,5,4.42,21,14,0,1,0,78.0,333,73,42,38,11,30,1,3,72
200,Trevor Williams,WSN,6,6,4.43,38,18,0,0,0,112.1,480,114,60,55,17,35,1,4,92
201,Ben Lively,CLE,9,10,4.61,25,25,0,0,0,138.0,593,140,77,71,22,45,2,6,109
202,Luis Garcia,HOU,5,5,4.19,31,11,16,6,7,80.2,338,75,41,38,12,26,0,3,79
203,Gregory Santos,SEA,2,2,3.35,48,0,3,12,3,52.2,221,47,21,20,4,17,1,3,53
204,Ryne Nelson,ARI,6,5,4.24,37,11,0,1,0,93.1,393,94,48,44,12,25,1,3,77
205,Martín Pérez,CHW,6,9,4.59,26,26,0,0,0,146.0,639,154,81,74,21,53,1,6,107
206,Jason Adam,SDP,4,3,3.13,64,0,7,19,4,65.2,267,49,25,23,7,21,2,5,75
207,Cole Sands,MIN,5,3,3.67,56,0,4,10,2,62.2,261,56,28,26,7,19,1,4,68
208,Sean Burke,CHW,6,8,4.59,26,22,0,0,0,117.0,508,109,65,60,19,55,1,5,114
209,Matt Waldron,SDP,4,5,4.62,18,12,0,1,0,76.0,322,75,42,39,12,22,1,4,63
210,Camilo Doval,SFG,5,4,3.55,62,0,9,15,5,64.0,273,52,27,25,5,31,2,3,76
