Rank,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
257,A.J. Minter,NYM,3,3,3.42,48,0,1,17,3,48.0,198,40,20,18,5,17,1,1,53
258,Jimmy Herget,COL,3,3,4.49,62,1,2,9,2,71.0,304,71,38,35,10,23,2,4,65
259,Tyler Wells,BAL,4,4,4.28,41,5,0,5,0,69.0,284,64,36,33,12,17,0,2,63
260,Sean Newcomb,CHW,3,4,4.00,54,3,1,6,0,73.1,316,68,35,33,8,31,2,4,70
261,Bryan Baker,TBR,3,3,3.89,60,0,2,13,3,61.1,254,52,29,26,8,22,1,2,67
262,JoJo Romero,STL,4,4,3.57,62,0,12,19,3,61.2,262,56,27,24,6,24,2,3,58
263,Shawn Armstrong,CLE,3,3,3.80,63,0,3,16,2,66.2,277,60,31,28,8,20,1,4,66
264,Phil Maton,CHC,4,3,3.70,63,0,6,19,3,63.1,266,53,28,26,7,23,1,5,68
265,Steven Okert,HOU,3,3,3.97,61,0,1,12,3,62.0,257,52,30,27,9,22,2,3,69
266,Tommy Nance,TOR,2,3,3.79,51,0,0,8,1,54.1,229,51,25,23,6,17,1,3,51
267,Drew Pomeranz,LAA,3,3,3.80,54,0,3,12,2,54.1,227,48,25,23,7,18,1,3,59
268,Bennett Sousa,HOU,3,2,3.62,48,0,1,9,1,50.2,209,43,22,20,6,17,1,1,55
269,Graham Ashcraft,CIN,5,3,4.04,54,0,2,16,3,62.1,266,62,30,28,6,21,0,3,54
270,Tanner Banks,PHI,3,2,3.92,56,0,0,11,2,59.0,246,56,28,26,8,16,1,2,55
271,Braydon Fisher,TOR,3,2,3.73,49,0,1,6,1,50.2,213,42,23,21,6,21,1,2,57
272,Brooks Raley,NYM,3,2,3.75,56,0,2,16,2,55.2,232,49,25,23,6,18,1,4,54
273,Brusdar Graterol,LAD,3,1,3.50,40,0,0,4,1,41.1,171,38,17,16,3,12,1,2,35
274,Hurston Waldrep,ATL,3,3,4.42,10,9,0,0,0,52.2,230,50,28,26,6,24,0,2,46
275,Brant Hurter,DET,3,3,3.64,43,0,0,6,1,51.0,216,47,22,21,5,16,1,4,46
276,Jack Dreyer,LAD,2,2,3.87,47,0,1,11,2,49.2,206,44,23,21,6,17,2,1,48
277,Dennis Santana,PIT,4,3,3.94,62,0,24,5,3,65.0,274,60,31,28,7,22,1,3,60
278,Martín Pérez,ATL,2,3,4.57,9,9,0,0,0,48.2,211,50,27,25,7,18,0,2,37
279,Tobias Myers,NYM,3,3,4.01,40,4,0,5,0,63.1,267,62,31,28,8,19,0,2,54
280,Luis Garcia,,3,2,4.11,39,4,1,9,2,50.1,215,48,25,23,7,18,0,3,47
281,Hayden Birdsong,SFG,3,3,4.58,17,8,0,1,0,52.0,227,47,29,26,7,26,0,3,52
282,Kody Funderburk,MIN,4,3,3.87,58,0,4,14,3,62.1,269,58,29,27,5,25,1,4,59
283,Justin Slaten,BOS,4,4,3.99,56,0,2,12,3,61.0,256,57,29,27,7,20,2,2,57
284,Kyle Finnegan,DET,4,4,3.90,60,0,6,14,5,61.2,259,57,29,27,7,21,2,2,58
285,Tyler Anderson,LAA,4,5,4.86,18,15,0,0,0,85.0,371,86,50,46,14,34,1,3,66
286,Pierson Ohl,COL,2,3,4.61,23,2,0,2,1,43.0,183,46,24,22,6,10,1,1,36
287,Marcus Stroman,,4,4,4.78,12,10,0,0,0,56.1,248,60,33,30,7,22,0,2,40
288,Brendon Little,TOR,3,2,3.56,53,0,0,13,3,52.0,225,44,22,21,4,28,2,2,56
