#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
58,Junior Caminero,TBR,131,517,559,136,90,22,2,23,65,75,32,2,112,5,4,1,5,2,0.263
59,Shea Langeliers,ATH,128,456,502,105,56,21,1,27,62,68,37,1,137,5,4,1,4,1,0.230
60,CJ Abrams,WSN,139,539,595,133,85,27,4,18,76,63,38,2,120,11,4,3,33,9,0.247
61,Jung Hoo Lee,SFG,121,470,519,135,90,31,4,10,64,56,40,2,52,4,4,1,8,2,0.286
62,Danny Jansen,TBR,98,327,371,74,43,15,1,14,41,46,35,0,75,6,3,0,1,0,0.226
63,Jeremy Peña,HOU,152,586,634,154,109,29,3,13,77,62,31,0,120,10,5,2,19,5,0.263
64,Jackson Chourio,MIL,148,580,630,156,101,30,5,20,81,80,41,2,135,5,4,1,25,6,0.270
65,Ozzie Albies,ATL,145,567,624,147,91,33,3,20,80,76,44,1,99,6,6,1,12,4,0.259
66,Pete Alonso,NYM,153,576,659,138,76,25,0,36,84,97,64,3,155,14,5,1,3,1,0.239
67,Matt McLain,CIN,126,483,541,123,74,26,2,21,73,69,47,1,146,8,3,1,18,5,0.255
68,Ian Happ,CHC,150,559,646,134,81,29,2,21,80,77,76,2,159,6,4,0,11,3,0.239
69,Taylor Ward,LAA,149,564,639,144,89,29,2,24,80,79,62,1,146,8,5,1,7,2,0.256
70,Isaac Paredes,HOU,141,516,594,119,77,22,1,20,68,66,61,0,96,12,5,0,1,0,0.231
71,J.T. Realmuto,PHI,115,407,456,104,64,22,2,16,59,58,31,1,112,7,3,0,10,3,0.256
72,Iván Herrera,STL,97,328,370,84,58,16,1,9,44,39,34,0,82,4,2,1,4,1,0.256
73,J.P. Crawford,SEA,132,480,555,112,77,21,1,12,58,54,63,1,110,6,3,2,3,1,0.234
74,Matt Olson,ATL,155,574,665,141,80,28,1,33,88,96,79,6,157,6,5,1,1,0,0.246
75,Gleyber Torres,DET,146,558,626,141,96,26,1,17,71,69,56,0,115,4,6,1,9,4,0.252
76,Lawrence Butler,ATH,145,538,592,131,77,26,2,25,76,71,47,2,149,2,4,1,15,4,0.244
77,Gabriel Moreno,ARI,119,404,451,112,79,22,2,9,54,52,38,1,78,5,3,1,5,2,0.277
78,Max Muncy,LAD,125,438,521,94,50,19,1,24,67,71,72,3,136,6,4,0,2,0,0.215
79,Teoscar Hernández,LAD,146,563,619,145,88,27,2,28,86,87,46,2,178,7,4,1,10,3,0.258
80,Zach Neto,LAA,122,448,498,109,67,22,2,17,65,55,32,0,117,13,3,2,18,5,0.243
81,Andrés Giménez,TOR,143,542,596,138,98,25,4,11,75,53,31,2,104,16,4,4,29,6,0.255
82,Jake Cronenworth,SDP,142,526,596,129,83,27,3,16,70,65,54,2,110,9,5,1,5,1,0.245
83,Tyler Stephenson,CIN,119,418,469,108,70,20,1,17,55,61,40,1,112,7,4,0,1,0,0.258
84,Pete Crow-Armstrong,CHC,136,488,535,118,77,20,5,15,69,55,33,2,143,7,3,4,29,4,0.241
85,Jose Altuve,HOU,142,565,625,146,100,28,2,17,78,66,50,0,110,6,3,1,15,5,0.258
86,Colton Cowser,BAL,136,486,554,116,69,24,2,21,71,67,56,3,168,8,3,1,9,2,0.239
87,Ha-Seong Kim,TBR,108,391,443,93,62,18,2,10,54,40,42,0,80,4,3,3,17,5,0.238
88,Victor Robles,SEA,130,442,505,107,75,18,2,11,64,40,37,0,106,13,3,10,31,7,0.242
89,Jacob Wilson,ATH,125,455,491,123,91,23,2,6,51,43,24,1,58,5,3,3,4,1,0.269
90,Ezequiel Tovar,COL,149,600,642,158,99,32,4,22,77,79,30,1,170,5,5,3,12,4,0.263
91,Ryan Jeffers,MIN,106,366,411,85,52,16,1,16,47,50,32,1,96,8,3,2,2,1,0.233
92,Alec Bohm,PHI,144,560,612,151,105,29,1,16,69,73,40,1,93,5,6,0,4,2,0.270
93,Jackson Holliday,BAL,120,413,467,100,64,20,3,12,58,48,48,2,122,3,2,1,9,2,0.242
94,JJ Bleday,ATH,143,523,597,120,67,28,2,22,70,68,65,1,126,4,5,1,5,1,0.229
95,Byron Buxton,MIN,104,390,433,95,48,23,2,21,58,59,32,1,120,8,3,0,8,2,0.243
96,Royce Lewis,MIN,122,461,508,114,69,23,1,21,62,64,39,1,114,4,4,1,7,3,0.248
97,Seiya Suzuki,CHC,129,490,559,127,78,26,2,21,74,74,58,2,139,6,4,0,13,4,0.260
98,Anthony Volpe,NYY,146,554,610,132,90,26,4,12,73,55,43,0,140,7,5,1,25,6,0.239
99,Brandon Nimmo,NYM,139,515,600,125,81,24,3,16,73,60,70,2,134,10,3,2,6,2,0.242
100,Anthony Santander,TOR,148,566,635,133,74,26,1,33,78,92,56,2,131,8,5,0,2,1,0.236
101,Bryan Reynolds,PIT,148,577,650,153,101,30,3,19,79,78,59,3,142,9,4,1,9,3,0.264
102,Cedric Mullins,BAL,131,468,521,107,65,20,3,19,70,54,42,1,106,5,4,2,28,6,0.229
103,Daulton Varsho,TOR,136,492,551,108,61,22,3,22,70,64,49,1,139,5,3,2,15,3,0.219
104,Joey Ortiz,MIL,140,497,549,121,83,22,4,12,61,57,43,0,114,5,3,2,12,3,0.244
105,Evan Carter,TEX,115,401,454,97,60,21,4,13,60,44,44,2,108,5,3,1,14,3,0.242
106,Luis Robert Jr.,CHW,135,526,574,128,77,27,2,22,76,68,36,2,168,8,4,0,25,6,0.244
107,Jonathan India,KCR,138,507,590,128,84,27,2,15,76,62,62,0,118,16,4,1,13,4,0.252
