Rank,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
78,Bo Naylor,CLE,120,393,446,84,49,17,2,16,50,50,44,1,115,3,3,2,5,2,.212
79,Kazuma Okamoto,TOR,126,460,523,109,61,22,0,25,66,74,52,2,114,7,4,1,1,0,.236
80,Trent Grisham,NYY,125,443,522,99,54,19,1,25,69,65,68,1,130,6,3,3,5,2,.223
81,Francisco Alvarez,NYM,111,384,430,85,54,14,1,16,47,52,37,1,116,6,3,1,1,0,.222
82,Brandon Nimmo,TEX,143,542,616,136,86,25,3,21,79,71,60,1,132,9,4,1,8,2,.251
83,James Wood,WSN,146,551,631,142,88,29,2,23,82,79,72,4,185,4,3,1,17,5,.258
84,J.P. Crawford,SEA,144,518,598,125,90,24,1,10,63,54,65,1,114,5,3,3,4,1,.241
85,Mike Trout,LAA,118,424,502,101,56,19,1,25,65,69,68,5,152,7,3,0,3,1,.238
86,Bryson Stott,PHI,137,504,559,129,89,23,3,13,70,57,46,1,95,3,4,1,22,5,.255
87,Ryan Jeffers,MIN,126,439,500,104,67,21,0,16,56,55,45,1,106,9,3,3,2,1,.236
88,Jake Cronenworth,SDP,141,498,576,118,77,24,2,16,67,60,60,1,116,10,4,2,5,1,.237
89,J.T. Realmuto,PHI,121,425,474,110,71,22,2,15,58,58,31,1,113,7,4,0,9,3,.258
90,Carlos Correa,HOU,129,486,546,126,89,22,0,15,62,61,49,2,108,3,4,1,0,0,.260
91,Colton Cowser,BAL,128,458,516,105,60,22,1,21,66,62,47,2,162,7,3,1,11,3,.229
92,Daulton Varsho,TOR,133,492,545,109,59,21,2,26,70,72,44,1,143,5,4,1,10,2,.221
93,Kevin McGonigle,DET,104,381,424,97,62,20,3,12,52,47,36,1,62,2,3,1,9,2,.254
94,Max Muncy,LAD,109,372,444,82,44,17,1,21,61,61,63,2,110,5,4,0,2,1,.222
95,Colson Montgomery,CHW,130,492,550,107,62,20,2,23,62,66,45,2,168,9,4,1,4,1,.217
96,Jarren Duran,BOS,140,546,608,143,87,34,4,19,82,71,50,1,139,7,3,1,25,5,.262
97,Drake Baldwin,ATL,133,478,532,122,83,22,1,16,60,63,45,1,97,4,4,1,0,0,.255
98,Wilyer Abreu,BOS,125,448,505,107,60,23,2,22,63,70,49,2,124,3,4,1,9,3,.240
99,Iván Herrera,STL,128,475,540,126,85,23,1,18,68,64,51,1,109,9,3,1,7,3,.266
100,Ezequiel Tovar,COL,147,582,627,154,97,33,3,21,74,79,31,0,157,4,5,5,10,3,.264
101,Jordan Westburg,BAL,94,366,401,95,58,18,3,16,53,50,26,0,92,5,2,1,5,2,.260
102,Dillon Dingler,DET,110,382,416,92,60,20,1,11,43,46,24,1,104,6,3,1,2,1,.241
103,Jackson Holliday,BAL,114,432,486,108,72,22,2,13,62,49,47,1,109,4,3,1,13,4,.251
104,Jakob Marsee,MIA,132,497,571,116,76,25,3,13,70,51,58,1,127,8,4,4,26,7,.233
105,Tyler Soderstrom,ATH,140,524,585,134,81,28,2,23,75,74,51,2,141,5,5,1,6,2,.256
106,Teoscar Hernández,LAD,132,508,554,134,80,26,1,27,78,81,36,1,142,5,4,1,6,2,.264
107,Masyn Winn,STL,144,561,611,139,97,26,3,12,67,58,38,0,110,5,5,3,12,4,.248
108,Heliot Ramos,SFG,144,549,608,141,89,26,2,24,78,78,46,1,147,8,4,1,6,2,.257
109,Jose Altuve,HOU,139,541,600,137,91,25,1,20,74,69,50,2,105,5,4,1,11,4,.254
110,Matt McLain,CIN,131,485,545,115,72,22,3,18,67,58,49,1,153,7,3,1,16,4,.236
111,Munetaka Murakami,CHW,133,458,547,94,47,16,1,31,77,78,81,2,206,6,2,1,12,2,.206
112,Agustín Ramírez,MIA,124,470,516,116,73,25,1,18,59,65,36,2,104,5,4,1,9,3,.247
113,Salvador Perez,KCR,141,525,576,131,78,25,0,28,65,92,30,4,120,9,5,0,0,0,.251
114,Michael Harris II,ATL,139,534,572,139,91,29,2,18,73,67,28,2,113,5,4,2,19,5,.261
115,CJ Abrams,WSN,140,557,613,136,88,29,3,16,74,64,38,1,119,12,4,2,30,8,.244
116,Cody Bellinger,NYY,139,534,595,132,83,25,4,21,72,68,50,3,93,3,6,1,11,3,.247
117,Alec Bohm,PHI,133,516,562,140,99,26,1,14,62,67,35,1,89,4,6,1,3,1,.272
118,Joey Bart,PIT,84,278,314,66,45,12,0,9,35,35,28,0,88,6,2,0,1,0,.238
119,Matt Olson,ATL,154,573,665,136,82,27,0,27,81,86,81,4,158,6,5,1,1,0,.238
120,Willson Contreras,BOS,134,487,563,123,77,23,1,23,72,74,52,1,142,16,4,1,5,2,.253
121,Lars Nootbaar,STL,117,433,499,106,67,21,1,17,61,58,58,2,101,3,3,1,6,2,.244
122,Michael Busch,CHC,141,519,590,126,73,27,2,25,74,80,58,1,151,8,4,1,3,1,.242
123,Kyle Teel,CHW,107,377,430,92,62,16,2,12,50,43,44,0,112,4,3,1,5,1,.243
124,Steven Kwan,CLE,147,575,645,152,120,24,4,4,71,51,57,1,55,5,5,3,17,5,.264
125,Andrés Giménez,TOR,138,507,558,124,90,22,2,8,65,47,30,2,98,14,4,3,22,5,.244
126,Jonathan Aranda,TBR,137,502,569,129,81,26,1,21,67,77,53,2,138,9,4,0,1,0,.258
127,Lawrence Butler,ATH,136,507,563,122,73,26,1,22,74,67,49,1,152,2,4,1,16,5,.241
128,Luis Robert Jr.,NYM,128,474,522,111,69,20,3,19,72,55,38,2,147,6,4,1,29,8,.234
129,Danny Jansen,TEX,90,290,333,59,35,12,1,12,35,37,35,0,80,5,2,1,0,0,.204
130,Jo Adell,LAA,140,516,568,122,67,23,1,31,72,80,40,1,156,8,4,1,10,3,.237
131,Ceddanne Rafaela,BOS,140,522,559,131,85,25,4,16,68,62,24,1,123,6,4,2,21,6,.250
132,Jonathan India,KCR,122,444,514,109,72,24,1,13,63,55,53,0,98,13,4,1,8,3,.246
133,Logan O'Hoppe,LAA,117,413,453,95,57,18,1,19,50,57,31,0,132,5,3,1,3,1,.230
134,Konnor Griffin,PIT,97,369,403,95,66,17,1,11,50,43,24,1,104,7,2,1,16,2,.257
135,Brenton Doyle,COL,138,515,563,133,83,27,4,20,75,67,36,0,150,3,4,3,21,5,.259
136,Carlos Narváez,BOS,108,367,410,82,54,15,0,13,43,48,35,1,108,4,3,1,3,1,.224
137,Evan Carter,TEX,109,384,434,90,58,18,3,10,54,40,40,2,99,6,3,1,16,4,.235
138,Tyler Stephenson,CIN,109,377,426,89,57,17,1,15,47,51,40,1,121,5,3,0,1,0,.237
