#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
538,Nicky Lopez,CHC,2,6,7,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.249
539,Garrett Stubbs,PHI,5,16,18,3,2,1,0,0,2,2,2,0,4,0,0,0,0,0,0.212
540,Petey Halpin,CLE,3,12,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.220
541,Austin Wynns,CIN,2,5,6,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0.229
542,Osleivis Basabe,SFG,2,6,7,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.249
543,Isaac Collins,MIL,2,6,7,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0.220
544,Matthew Lugo,LAA,3,12,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.232
545,Dom Nuñez,CLE,3,11,12,2,1,0,0,0,1,1,1,0,4,0,0,0,0,0,0.180
546,Travis Jankowski,CHC,5,17,20,4,3,1,0,0,2,2,2,0,4,0,0,0,1,0,0.238
547,Jonathan Ornelas,TEX,3,12,13,3,2,0,0,0,1,1,1,0,4,0,0,0,0,0,0.229
548,Jorge Barrosa,ARI,2,6,7,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.233
549,Dominic Fletcher,CHW,23,83,91,19,14,4,0,2,8,8,6,0,21,1,1,0,1,0,0.235
550,Chuckie Robinson,LAA,2,5,6,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.216
551,Luke Ritter,NYM,3,12,13,2,1,0,0,0,1,1,1,0,5,0,0,0,0,0,0.194
552,Oscar Gonzalez,SDP,3,13,13,3,2,1,0,0,1,2,1,0,3,0,0,0,0,0,0.248
553,Blake Hunt,SEA,2,6,6,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0.201
554,Gustavo Campero,LAA,2,6,6,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.240
555,David Bañuelos,BAL,2,6,6,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0.195
556,Dustin Harris,TEX,5,17,20,4,3,1,0,0,2,2,2,0,5,0,0,0,1,0,0.230
557,Joey Loperfido,TOR,42,145,161,32,20,7,1,4,17,16,12,1,50,2,1,1,4,1,0.219
558,Curt Casali,ATL,3,10,12,2,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0.216
559,Christian Cairo,ATL,3,11,13,2,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0.209
560,Darren Baker,WSN,6,24,27,6,5,1,0,0,2,2,2,0,5,0,0,0,1,0,0.251
561,Jacob Hurtubise,CIN,3,12,13,3,2,0,0,0,1,1,2,0,3,0,0,0,0,0,0.234
562,Wander Franco,TBR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281
563,Cooper Hummel,HOU,3,11,13,2,1,1,0,0,1,1,2,0,4,0,0,0,0,0,0.209
564,Braden Shewmake,NYY,2,6,6,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.222
565,Pedro León,HOU,6,23,26,5,3,1,0,1,3,3,2,0,8,0,0,0,1,0,0.213
566,Ryan Kreidler,DET,2,6,6,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0.198
567,René Pinto,ARI,2,5,6,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0.215
568,Justin Foscue,TEX,2,6,6,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.222
569,Gabriel Rincones Jr.,PHI,3,12,13,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0.222
570,Marco Luciano,SFG,15,52,59,11,8,2,0,1,6,5,6,0,18,0,0,0,1,0,0.216
571,Carlos D. Rodriguez,ATL,2,6,7,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.258
572,Tucker Barnhart,TEX,2,5,6,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0.209
573,Oscar Colás,CHW,44,158,174,37,25,7,1,5,17,18,13,1,45,2,1,1,3,1,0.236
574,Cooper Ingle,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246
575,Brett Sullivan,SDP,2,5,6,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.222
576,Dominic Smith,NYY,13,48,53,11,8,2,0,1,6,6,4,0,12,1,0,0,0,0,0.240
577,Cooper Bowman,CIN,2,6,7,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0.224
578,Samuel Basallo,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245
