#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
356,Derek Hill,MIA,63,234,254,57,39,10,2,6,26,27,15,0,69,2,2,1,6,2,0.245
357,Jarred Kelenic,ATL,42,149,166,35,21,8,1,6,20,19,14,1,46,1,1,1,4,1,0.236
358,Randal Grichuk,ARI,62,238,258,61,39,13,1,8,30,32,15,0,55,3,2,0,1,0,0.256
359,Alan Roden,TOR,28,98,112,25,17,5,0,2,13,11,11,0,20,2,1,0,2,0,0.254
360,Jorge Mateo,BAL,31,111,120,26,17,6,1,3,14,13,7,0,30,1,1,0,8,2,0.233
361,Jacob Melton,HOU,37,139,151,31,20,6,1,4,17,17,10,0,38,1,1,0,6,1,0.226
362,Ezequiel Duran,TEX,39,145,156,37,24,8,1,4,17,17,8,0,37,1,1,0,3,1,0.253
363,Ramón Laureano,BAL,47,177,196,41,26,8,1,6,21,22,13,0,56,4,1,0,4,1,0.230
364,Dane Myers,MIA,86,305,337,74,51,13,1,8,34,34,23,0,94,5,3,1,7,2,0.241
365,Ben Rice,NYY,35,120,138,27,16,5,0,6,17,18,15,0,35,2,1,1,1,0,0.225
366,Elias Díaz,SDP,72,261,285,59,40,12,0,7,29,29,19,1,67,2,2,1,1,0,0.226
367,Davis Schneider,TOR,45,165,191,36,21,8,0,6,22,21,22,0,55,2,1,0,2,1,0.218
368,Nick Castellanos,PHI,147,572,621,145,91,29,2,23,72,81,37,1,146,6,5,1,6,2,0.253
369,Liam Hicks,MIA,24,85,98,20,14,4,0,1,10,8,11,0,18,2,1,0,1,0,0.233
370,James McCann,,42,151,164,34,23,7,0,5,17,17,9,0,42,2,1,1,2,0,0.228
371,Chris Taylor,LAD,66,236,267,51,33,11,1,6,29,27,26,1,85,3,2,1,6,1,0.215
372,Nick Loftin,KCR,29,106,119,26,19,5,0,2,13,12,11,0,20,1,1,0,1,0,0.249
373,Johnathan Rodriguez,CLE,32,118,132,28,18,5,0,5,15,15,12,0,40,1,1,0,1,0,0.240
374,Tyler Black,MIL,53,193,224,44,29,8,2,5,25,23,25,0,52,4,2,0,7,2,0.228
375,Kevin Newman,LAA,55,196,212,48,35,10,1,2,21,19,12,0,36,2,2,1,5,1,0.245
