"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Shohei Ohtani","LAD","DH,SP","118.0","138","9","0","3.46","1.13","45","93","40","15","21","21","5","0"
"Tarik Skubal","DET","SP","190.5","219","14","0","2.86","1.01","61","151","41","18","31","31","8","0"
"Paul Skenes","PIT","SP","171.8","210","12","0","2.87","1.06","55","133","49","15","30","30","7","0"
"Zack Wheeler","PHI","SP","197.2","210","14","0","3.30","1.08","72","163","51","22","31","31","8","0"
"Logan Gilbert","SEA","SP","195.4","201","13","0","3.37","1.05","73","164","42","25","31","31","9","1"
"Garrett Crochet","BOS","SP","153.6","200","12","0","3.13","1.09","53","122","45","16","30","30","7","0"
"Chris Sale","ATL","SP","171.0","206","13","0","3.13","1.08","59","141","44","17","29","29","7","0"
"Corbin Burnes","ARI","SP","189.0","186","13","0","3.52","1.16","74","165","54","20","31","31","8","0"
"Cole Ragans","KC","SP","180.8","205","12","0","3.49","1.20","70","150","67","19","31","31","9","1"
"Dylan Cease","SD","SP","184.2","216","13","0","3.48","1.17","71","147","68","21","31","31","9","1"
"Blake Snell","LAD","SP","158.9","205","12","0","3.36","1.18","59","118","70","17","29","29","6","1"
"Emmanuel Clase","CLE","RP","68.7","67","4","35","2.62","1.03","20","57","14","5","66","0","2","0"
"George Kirby","SEA","SP","171.9","161","12","0","3.48","1.07","66","159","24","21","29","29","9","0"
"Yoshinobu Yamamoto","LAD","SP","160.4","167","12","0","3.38","1.11","60","136","42","17","27","27","7","1"
"Michael King","SD","SP","172.6","187","12","0","3.56","1.21","68","148","60","19","30","30","9","0"
"Framber Valdez","HOU","SP","186.6","179","13","0","3.35","1.19","69","163","59","16","29","29","8","2"
"Devin Williams","NYY","RP","62.6","85","4","32","2.89","1.15","20","43","29","5","58","0","3","0"
"Edwin Diaz","NYM","RP","65.2","92","4","34","2.98","1.07","22","46","23","7","62","0","3","0"
"Josh Hader","HOU","RP","67.8","94","5","33","3.17","1.09","24","47","26","8","66","0","3","0"
"Pablo Lopez","MIN","SP","190.0","199","12","0","3.71","1.16","78","173","47","24","31","31","10","0"
"Mason Miller","ATH","RP","66.8","96","3","29","2.75","1.01","20","45","23","6","62","0","2","0"
"Gerrit Cole","NYY","SP","172.9","180","11","0","3.74","1.15","72","150","48","24","29","29","8","1"
"Jacob deGrom","TEX","SP","120.2","154","8","0","3.05","0.98","41","90","27","15","23","23","5","0"
"Ryan Helsley","STL","RP","65.5","80","4","34","2.98","1.12","22","49","25","6","63","0","3","0"
"Shota Imanaga","CHC","SP","172.4","171","11","0","3.67","1.12","70","155","38","26","29","29","8","1"
"Logan Webb","SF","SP","198.3","168","13","0","3.37","1.18","74","189","44","15","31","31","9","1"
"Aaron Nola","PHI","SP","189.2","186","12","0","3.84","1.16","81","175","45","27","31","31","9","1"
"Raisel Iglesias","ATL","RP","68.6","74","4","33","3.25","1.11","25","58","17","7","67","0","3","0"
"Bryce Miller","SEA","SP","174.2","166","11","0","3.70","1.13","72","151","45","24","31","31","9","0"
"Luis Castillo","SEA","SP","181.8","184","12","0","3.65","1.16","74","160","52","23","31","31","10","0"
"Tyler Glasnow","LAD","SP","139.1","170","10","0","3.27","1.07","51","108","40","16","24","24","5","0"
"Tanner Bibee","CLE","SP","171.1","177","11","0","3.68","1.16","70","151","47","22","30","30","9","0"
"Spencer Schwellenbach","ATL","SP","163.6","157","12","0","3.69","1.15","67","150","38","20","29","29","8","0"
"Felix Bautista","BAL","RP","58.5","82","4","27","2.81","1.08","18","40","24","6","55","0","2","0"
"Freddy Peralta","MIL","SP","170.2","193","11","0","3.77","1.18","71","139","61","23","31","31","9","0"
"Max Fried","NYY","SP","175.0","164","13","0","3.33","1.17","65","153","51","17","29","29","8","2"
"Andres Munoz","SEA","RP","63.4","81","4","27","2.79","1.11","20","46","25","5","61","0","3","0"
"Hunter Brown","HOU","SP","169.9","178","12","0","3.74","1.24","71","152","59","19","29","29","9","0"
"Jhoan Duran","MIN","RP","64.4","78","5","26","2.84","1.12","20","52","20","5","62","0","3","0"
"Bailey Ober","MIN","SP","172.4","177","11","0","3.89","1.12","74","152","42","27","30","30","9","1"
