"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Hunter Greene","CIN","SP","164.0","188","10","0","3.87","1.17","71","132","59","22","28","28","8","0"
"Joe Ryan","MIN","SP","162.4","176","10","0","3.75","1.08","68","139","37","24","28","28","8","0"
"Sonny Gray","STL","SP","175.3","184","12","0","3.50","1.15","68","153","49","19","30","30","8","0"
"Zac Gallen","ARI","SP","173.0","172","12","0","3.72","1.20","71","156","53","19","30","30","8","0"
"Roki Sasaki","LAD","SP","135.7","161","10","0","3.48","1.12","52","110","42","16","23","23","6","1"
"Grayson Rodriguez","BAL","SP","154.2","165","11","0","3.70","1.20","63","136","49","19","27","27","8","0"
"Ryan Walker","SF","RP","70.0","83","4","25","3.02","1.10","24","56","21","6","66","0","3","0"
"Shane McClanahan","TB","SP","145.3","156","9","0","3.48","1.15","56","124","43","18","29","25","7","0"
"Justin Steele","CHC","SP","169.4","163","11","0","3.47","1.17","65","152","46","17","29","29","8","1"
"Spencer Strider","ATL","SP","115.0","153","9","0","3.31","1.10","42","89","37","13","20","20","5","0"
"Robert Suarez","SD","RP","65.0","64","4","28","3.62","1.19","26","56","22","8","63","0","3","0"
"Bryan Woo","SEA","SP","138.1","129","9","0","3.63","1.10","56","121","30","18","26","26","7","0"
"Carlos Rodon","NYY","SP","167.6","186","11","0","4.01","1.18","75","143","55","26","30","30","9","0"
"Jared Jones","PIT","SP","158.8","165","9","0","3.98","1.22","70","142","53","21","32","28","9","0"
"Jack Flaherty","DET","SP","162.1","177","10","0","3.79","1.20","68","144","50","21","29","29","9","0"
"Tanner Scott","LAD","RP","67.3","81","5","24","3.12","1.22","23","52","31","5","65","0","3","0"
"Kodai Senga","NYM","SP","154.8","169","10","0","3.71","1.25","64","128","66","18","31","27","8","1"
"Sandy Alcantara","MIA","SP","171.5","149","10","0","3.71","1.19","71","162","42","18","28","28","9","3"
"Kevin Gausman","TOR","SP","185.8","184","12","0","3.95","1.23","82","175","54","24","31","31","10","1"
"Reynaldo Lopez","ATL","SP","160.8","170","11","0","3.67","1.21","66","140","54","18","29","29","7","0"
"Cristopher Sanchez","PHI","SP","172.6","149","12","0","3.62","1.22","69","164","46","17","29","29","8","1"
"Yusei Kikuchi","LAA","SP","169.5","189","10","0","3.97","1.22","75","155","51","26","30","30","10","0"
"Seth Lugo","KC","SP","186.0","161","12","0","3.96","1.23","82","180","49","22","31","31","10","1"
"Brandon Pfaadt","ARI","SP","150.5","148","9","0","3.99","1.19","67","144","36","21","31","26","8","0"
"Ryan Pepiot","TB","SP","152.4","160","10","0","3.92","1.20","66","130","54","22","29","29","9","0"
"Pete Fairbanks","TB","RP","57.1","64","3","23","3.46","1.20","22","47","21","6","55","0","3","0"
"Zach Eflin","BAL","SP","172.5","144","11","0","3.85","1.16","74","170","29","23","29","29","9","0"
"Nathan Eovaldi","TEX","SP","168.0","160","10","0","3.88","1.19","72","153","46","22","28","28","9","1"
"Trevor Megill","MIL","RP","60.9","72","3","25","3.59","1.22","24","52","23","7","58","0","3","0"
"Alexis Diaz","CIN","RP","66.0","70","3","25","4.17","1.31","31","55","32","8","64","0","4","0"
"David Bednar","PIT","RP","63.8","67","3","26","3.80","1.24","27","56","23","7","62","0","3","0"
"Taj Bradley","TB","SP","160.7","170","10","0","4.01","1.22","72","143","53","24","29","29","10","0"
"Nick Pivetta","SD","SP","152.7","172","10","0","3.96","1.17","67","130","48","24","27","27","9","0"
"Tanner Houck","BOS","SP","176.5","156","11","0","3.81","1.25","75","167","53","17","35","29","9","1"
"Robbie Ray","SF","SP","144.9","159","9","0","4.01","1.21","65","126","49","22","27","27","9","0"
"Kenley Jansen","LAA","RP","59.4","68","3","23","3.80","1.21","25","49","23","8","57","0","3","0"
"Shane Baz","TB","SP","141.1","132","8","0","4.18","1.27","66","129","51","19","32","25","8","0"
"Jeff Hoffman","TOR","RP","65.2","81","3","24","3.16","1.12","23","50","23","7","64","0","3","0"
"Jordan Romano","PHI","RP","56.3","60","3","21","3.92","1.25","25","50","20","8","52","0","3","0"
"MacKenzie Gore","WSH","SP","165.9","176","10","0","3.98","1.29","73","151","62","20","31","31","10","0"
"Bowden Francis","TOR","SP,RP","150.5","139","9","0","4.17","1.17","70","137","40","25","32","25","8","0"
"Spencer Arrighetti","HOU","SP","142.3","151","9","0","4.29","1.31","68","128","59","20","26","26","8","0"
"Clarke Schmidt","NYY","SP","134.8","135","8","0","3.93","1.24","59","122","44","17","33","23","7","0"
"Sean Manaea","NYM","SP","156.8","158","10","0","4.07","1.23","71","138","54","22","28","28","8","0"
"Jesus Luzardo","PHI","SP","148.6","152","9","0","4.04","1.23","67","133","50","21","33","25","8","0"
"Nick Lodolo","CIN","SP","132.1","142","8","0","4.09","1.23","60","121","42","17","24","24","8","0"
"Carlos Estevez","KC","RP","64.5","62","4","21","3.98","1.25","29","58","22","8","62","0","3","0"
"Lucas Erceg","KC","RP","67.0","75","4","11","3.54","1.26","26","57","27","5","63","0","3","0"
"Ryan Pressly","CHC","RP","61.8","63","3","24","3.46","1.21","24","56","18","6","59","0","3","0"
"Yu Darvish","SD","SP","151.3","145","10","0","4.08","1.19","69","138","43","22","27","27","9","0"
"Brandon Woodruff","MIL","SP","139.3","152","9","0","3.62","1.14","56","119","39","19","24","24","7","1"
"Kirby Yates","LAD","RP","60.6","74","4","10","3.47","1.21","23","45","28","7","59","0","3","0"
"Jose Berrios","TOR","SP","190.2","163","11","0","4.25","1.25","90","184","53","28","31","31","11","1"
"Justin Martinez","ARI","RP","67.6","82","4","19","3.20","1.30","24","54","34","4","63","0","3","0"
"Ranger Suarez","PHI","SP","163.3","147","10","0","3.73","1.26","68","154","51","17","35","28","8","1"
"Luis Gil","NYY","SP","119.3","132","7","0","4.06","1.30","54","97","58","16","28","21","6","0"
"Ronel Blanco","HOU","SP","162.8","161","10","0","4.12","1.29","74","141","68","24","29","29","9","1"
"Reese Olson","DET","SP","141.1","131","8","0","3.91","1.24","61","129","46","16","27","27","8","0"
"Michael Wacha","KC","SP","163.0","141","10","0","4.08","1.25","74","155","48","21","29","29","9","0"
"Kutter Crawford","BOS","SP","129.6","124","7","0","4.29","1.20","62","119","36","21","40","18","7","0"
"Ben Joyce","LAA","RP","58.8","68","3","8","3.51","1.25","23","47","27","6","55","0","3","0"
"Jeffrey Springs","ATH","SP","131.7","129","8","0","3.91","1.21","57","122","38","18","30","25","7","0"
"Gavin Williams","CLE","SP","136.3","138","8","0","3.92","1.26","59","120","52","16","26","26","8","0"
"Merrill Kelly","ARI","SP","153.3","137","10","0","4.10","1.27","70","145","50","21","26","26","8","0"
"Kyle Finnegan","WSH","RP","64.4","61","3","22","4.00","1.32","29","60","24","8","55","0","4","0"
"Liam Hendriks","BOS","RP","57.6","64","3","19","3.86","1.22","25","51","19","8","54","0","3","0"
"Drew Rasmussen","TB","SP,RP","112.0","110","7","0","3.36","1.14","42","100","28","11","37","17","5","0"
"Walker Buehler","BOS","SP","139.9","122","7","0","4.49","1.34","70","142","46","19","33","25","8","0"
"Luis Severino","ATH","SP","174.1","153","9","0","4.32","1.29","84","167","58","24","30","30","10","1"
"Clay Holmes","NYM","RP","140.6","130","9","0","3.66","1.31","57","133","51","12","44","21","7","0"
"Nestor Cortes Jr.","MIL","SP","144.6","141","9","0","3.87","1.16","62","130","38","21","35","23","7","0"
"Aroldis Chapman","BOS","RP","63.3","91","4","13","3.38","1.31","24","45","37","6","62","0","3","0"
"Brayan Bello","BOS","SP","164.6","153","11","0","4.04","1.33","74","160","59","18","29","29","10","0"
"Jason Foley","DET","RP","63.5","51","3","15","3.68","1.26","26","62","19","6","62","0","3","0"
"Kumar Rocker","TEX","SP","115.0","119","6","0","3.73","1.20","48","102","36","14","28","22","6","0"
"Max Scherzer","TOR","SP","115.5","120","7","0","3.85","1.13","49","100","30","18","24","21","6","0"
"David Festa","MIN","SP","105.9","114","6","0","3.97","1.27","47","95","39","13","35","17","6","0"
"Mitch Keller","PIT","SP","180.5","166","10","0","4.19","1.28","84","177","54","22","31","31","11","1"
"DJ Herz","WSH","SP","117.9","127","6","0","4.15","1.33","54","100","57","15","32","22","7","0"
"Jackson Jobe","DET","SP","108.0","90","5","0","4.49","1.34","54","103","41","16","27","20","6","0"
"A.J. Puk","ARI","RP","64.4","77","4","14","3.34","1.17","24","53","22","7","62","0","3","0"
"Tobias Myers","MIL","SP","134.7","123","7","0","4.25","1.27","64","129","41","21","34","23","7","0"
"Chris Martin","TEX","RP","58.7","60","3","14","3.37","1.12","22","54","11","6","55","0","2","0"
"Porter Hodge","CHC","RP","63.2","70","3","10","3.61","1.27","25","51","30","6","57","0","3","0"
"Chris Bassitt","TOR","SP","178.3","164","11","0","4.14","1.28","82","169","60","23","31","31","11","0"
"Grant Holmes","ATL","SP,RP","109.0","107","6","0","4.08","1.29","49","106","34","14","38","16","5","0"
"Luke Weaver","NYY","RP","69.2","76","3","5","3.75","1.17","29","60","21","9","61","0","3","0"
"Griffin Jax","MIN","RP","69.2","81","4","8","3.13","1.10","24","56","19","7","67","0","3","0"
"Ryan Weathers","MIA","SP","137.7","121","7","0","4.47","1.37","68","138","50","19","29","26","10","0"
"Cody Bradford","TEX","SP","97.4","87","5","0","4.10","1.16","44","92","21","15","41","13","5","0"
"Erick Fedde","STL","SP","169.8","148","10","0","4.16","1.27","78","164","53","22","30","30","10","0"
"Jose Soriano","LAA","SP","140.5","132","8","0","3.94","1.32","62","126","60","14","26","26","8","0"
"Orion Kerkering","PHI","RP","63.5","72","4","5","3.13","1.13","22","52","19","5","60","0","3","0"
"Brady Singer","CIN","SP","172.5","162","10","0","4.32","1.29","83","173","49","25","30","30","10","0"
"Bubba Chandler","PIT","SP","78.4","71","4","0","4.41","1.37","38","75","33","10","15","15","5","0"
"Nick Martinez","CIN","SP,RP","153.8","129","8","0","4.14","1.26","71","154","41","21","41","23","8","1"
"Camilo Doval","SF","RP","65.6","78","4","9","3.37","1.26","25","53","30","5","63","0","3","0"
"Matthew Boyd","CHC","SP","113.0","116","7","0","3.82","1.21","48","100","37","14","26","21","6","0"
"Jason Adam","SD","RP","68.2","78","4","5","3.24","1.09","25","51","23","7","67","0","3","0"
"Shane Bieber","CLE","SP","86.9","83","5","0","3.66","1.19","35","82","22","10","21","14","4","0"
"Calvin Faucher","MIA","RP","62.2","64","3","18","4.05","1.40","28","59","28","6","59","0","4","0"
"Cade Smith","CLE","RP","69.7","88","4","2","2.98","1.11","23","54","24","6","67","0","3","0"
"Michael Kopech","LAD","RP","55.4","66","3","4","3.86","1.26","24","43","26","8","50","0","3","0"
"Edwin Uceta","TB","RP","64.8","71","3","8","3.89","1.24","28","55","26","9","58","0","3","0"
"Kyle Harrison","SF","SP","133.9","134","8","0","4.21","1.28","63","122","49","18","25","25","8","0"
"Justin Verlander","SF","SP","135.2","111","8","0","4.17","1.26","63","133","38","18","24","24","8","0"
"David Peterson","NYM","SP","142.3","133","9","0","3.94","1.34","62","135","55","15","29","25","7","0"
"Reid Detmers","LAA","SP","117.1","130","6","0","4.20","1.27","55","106","42","17","32","19","7","0"
"Dustin May","LAD","SP","68.6","67","4","0","3.75","1.21","29","60","23","8","38","6","3","0"
"Jameson Taillon","CHC","SP","166.2","132","10","0","4.32","1.24","80","166","40","25","29","29","9","0"
"Evan Phillips","LAD","RP","50.0","55","3","2","3.37","1.14","19","41","16","6","49","0","2","0"
"Lucas Giolito","BOS","SP","125.9","128","7","0","4.48","1.32","63","120","46","20","28","22","8","0"
"Chad Green","TOR","RP","61.6","58","3","7","3.98","1.21","27","56","19","9","59","0","3","0"
"Eduardo Rodriguez","ARI","SP","136.3","124","9","0","4.06","1.29","61","132","44","17","28","24","7","0"
"Bryan Abreu","HOU","RP","72.7","93","4","3","3.31","1.19","27","56","31","8","70","0","3","0"
"Kris Bubic","KC","RP","102.4","98","5","0","4.08","1.32","46","99","37","12","36","16","5","0"
"Frankie Montas","NYM","SP","105.6","101","6","0","4.31","1.32","51","99","41","15","20","20","6","0"
"Zack Littell","TB","SP","134.1","115","7","0","4.27","1.23","64","136","29","21","30","24","8","0"
"Clayton Kershaw","LAD","SP","63.0","59","5","0","3.83","1.21","27","59","18","8","12","12","3","0"
"Aaron Civale","MIL","SP","147.5","137","8","0","4.32","1.26","71","142","44","23","33","26","8","0"
"Edward Cabrera","MIA","SP","121.7","129","6","0","4.10","1.34","55","104","58","15","29","23","8","0"
"Tyler Holton","DET","SP,RP","72.8","64","4","6","3.37","1.12","27","63","18","8","65","0","3","0"
"Blake Treinen","LAD","RP","57.2","62","4","5","3.43","1.16","22","49","18","6","54","0","3","0"
"Ryne Nelson","ARI","SP","96.1","79","5","0","4.20","1.27","45","96","25","13","40","11","5","0"
"Quinn Mathews","STL","SP","86.0","83","4","0","3.97","1.29","38","78","33","10","23","14","4","0"
"Eury Perez","MIA","SP","68.8","76","4","0","3.92","1.19","30","60","22","10","14","14","4","0"
"Luis L. Ortiz","CLE","SP,RP","142.7","119","7","0","4.30","1.33","68","136","53","19","33","23","8","0"
"Charlie Morton","BAL","SP","153.8","153","9","0","4.32","1.34","74","143","63","21","27","27","9","0"
"Bobby Miller","LAD","SP","47.4","45","3","0","4.13","1.28","22","43","17","6","31","3","2","0"
"Max Meyer","MIA","SP","128.6","112","6","0","4.50","1.37","64","130","46","18","29","24","9","0"
"Jorge Lopez","WSH","RP","61.6","54","3","6","4.19","1.33","29","60","22","8","58","0","3","0"
"Hayden Birdsong","SF","SP","105.4","114","6","0","4.17","1.32","49","91","48","13","33","19","6","0"
"Matt Strahm","PHI","RP","66.0","78","4","4","3.22","1.05","24","52","17","8","64","0","3","0"
"Jeremiah Estrada","SD","RP","63.9","85","3","3","3.36","1.19","24","48","28","7","62","0","3","0"
"Jordan Hicks","SF","SP,RP","125.0","114","7","0","4.13","1.38","57","118","55","12","34","22","7","0"
"Andrew Painter","PHI","SP","63.0","63","3","0","4.18","1.27","29","58","22","9","16","11","3","0"
"Tomoyuki Sugano","BAL","SP","131.1","97","7","0","4.65","1.31","68","139","33","21","26","23","7","2"
"Jordan Montgomery","ARI","SP","106.3","84","6","0","4.29","1.34","51","110","32","13","34","15","5","0"
"Tyler Mahle","TEX","SP","128.2","117","7","0","4.22","1.24","60","118","41","18","24","24","7","0"
"Ben Brown","CHC","SP,RP","49.7","56","3","0","3.53","1.18","19","40","18","5","28","4","2","0"
"Seth Halvorsen","COL","RP","63.0","59","3","9","4.56","1.43","32","63","28","8","60","0","4","0"
"Jesus Tinoco","MIA","RP","63.3","64","3","6","3.94","1.30","28","58","25","7","59","0","3","0"
"David Robertson","","RP","56.8","68","3","3","3.41","1.22","22","46","23","6","47","0","3","0"
"Andrew Abbott","CIN","SP","142.1","133","8","0","4.52","1.33","71","136","52","24","26","26","9","0"
"Jon Gray","TEX","SP","145.0","130","8","0","4.33","1.27","70","139","45","20","33","25","9","0"
"Jake Irvin","WSH","SP","166.1","138","9","0","4.39","1.29","81","161","53","25","29","29","11","0"
"Dean Kremer","BAL","SP","143.8","127","9","0","4.26","1.29","68","137","49","21","26","26","8","0"
"JP Sears","ATH","SP","177.1","143","9","0","4.63","1.28","91","175","51","30","31","31","12","0"
"Alex Cobb","DET","SP","95.9","80","6","0","3.90","1.29","41","95","29","9","18","18","6","1"
"Kevin Ginkel","ARI","RP","63.5","67","4","4","3.41","1.20","24","56","20","6","61","0","3","0"
"Tony Gonsolin","LAD","SP","93.7","82","6","0","4.41","1.27","46","87","32","14","32","14","5","0"
"Justin Slaten","BOS","RP","64.8","68","3","2","3.92","1.30","28","60","24","8","58","0","3","0"
"Osvaldo Bido","ATH","SP,RP","96.1","89","5","0","4.37","1.31","47","87","38","13","33","14","6","0"
"Robert Garcia","TEX","RP","64.5","74","4","8","3.45","1.20","25","54","23","7","63","0","3","0"
"Sean Burke","CWS","SP","120.5","118","6","0","4.49","1.38","60","111","55","18","28","23","9","0"
"Yimi Garcia","TOR","RP","60.6","67","3","4","3.55","1.14","24","51","18","8","57","0","3","0"
"Rhett Lowder","CIN","SP","104.9","84","5","0","4.51","1.35","53","108","34","14","33","17","6","0"
"Joel Payamps","MIL","RP","62.9","62","4","5","3.72","1.20","26","56","20","8","61","0","3","0"
"Andrew Heaney","PIT","SP","131.6","124","7","0","4.43","1.29","65","129","40","20","31","24","8","0"
"Zebby Matthews","MIN","SP","78.4","73","4","0","4.09","1.20","36","78","16","12","30","12","4","0"
"Luis Garcia","HOU","SP","99.7","99","6","4","4.09","1.23","45","90","33","15","26","17","5","0"
"Tylor Megill","NYM","SP","84.7","89","5","0","3.97","1.28","37","76","32","10","42","9","4","0"
"Tyler Kinley","COL","RP","62.6","65","3","13","4.61","1.39","32","60","27","9","62","0","3","0"
"Keegan Akin","BAL","RP","70.0","78","4","1","3.49","1.15","27","60","20","9","64","0","3","0"
"Bryan Hudson","MIL","RP","62.3","66","3","2","3.43","1.19","24","52","22","7","56","0","3","0"
"Garrett Whitlock","BOS","SP","63.9","63","3","2","3.63","1.17","26","59","15","7","53","0","3","0"
"Yennier Cano","BAL","RP","63.0","63","3","3","3.43","1.25","24","56","23","6","61","0","3","0"
"Casey Mize","DET","SP","121.7","97","6","0","4.27","1.30","58","123","36","15","24","24","7","0"
"Dylan Lee","ATL","RP","63.1","71","3","0","3.43","1.16","24","55","18","8","60","0","3","0"
"Hayden Wesneski","HOU","SP,RP","92.4","86","5","0","4.27","1.27","44","86","31","14","41","11","5","0"
"Paul Sewald","CLE","RP","57.9","64","3","1","3.85","1.18","25","49","19","8","55","0","3","0"
"Jose Alvarado","PHI","RP","60.5","68","3","3","3.46","1.28","23","50","27","5","60","0","3","0"
"A.J. Minter","NYM","RP","54.6","61","3","2","3.42","1.16","21","45","18","6","54","0","3","0"
"Cole Sands","MIN","RP","65.4","71","4","2","3.63","1.17","26","58","19","8","59","0","3","0"
"Hector Neris","ATL","RP","57.8","61","4","1","4.05","1.29","26","50","24","8","56","0","4","0"
"Beau Brieske","DET","SP,RP","66.3","63","3","8","3.89","1.28","29","59","26","8","58","0","4","0"
"Derek Law","WSH","RP","72.9","62","4","5","3.94","1.32","32","71","25","8","68","0","4","0"
"Michael McGreevy","STL","SP","51.5","38","3","0","3.95","1.29","23","53","14","6","29","4","3","0"
"Dedniel Nunez","NYM","RP","50.5","58","3","0","3.44","1.20","19","42","19","5","46","0","2","0"
"Cade Povich","BAL","SP","78.2","72","4","0","4.29","1.32","37","73","30","11","21","14","4","0"
"Mitchell Parker","WSH","SP","144.7","127","7","0","4.33","1.33","70","140","52","19","32","26","9","0"
"Alex Vesia","LAD","RP","60.5","76","4","1","3.54","1.19","24","46","26","8","60","0","3","0"
"Will Vest","DET","RP","68.4","66","3","2","3.51","1.21","27","62","21","6","66","0","3","0"
"Brant Hurter","DET","RP","49.5","42","3","0","3.76","1.21","21","48","12","5","42","0","2","0"
"Andrew Kittredge","BAL","RP","56.2","52","3","2","3.87","1.22","24","53","16","8","55","0","3","0"
"Jose Butto","NYM","SP,RP","64.8","64","4","1","3.82","1.26","28","55","27","7","54","0","3","0"
"Aaron Ashby","MIL","RP","71.1","70","4","0","4.11","1.41","32","65","35","7","35","7","4","0"
"Ben Lively","CLE","SP","137.9","108","8","0","4.61","1.34","71","140","45","21","26","26","10","0"
"Hunter Gaddis","CLE","RP","66.9","61","3","1","3.86","1.18","29","60","19","9","61","0","3","0"
"Jacob Misiorowski","MIL","SP,RP","37.3","40","2","0","4.48","1.44","19","32","22","5","28","1","2","0"
"Tyler Anderson","LAA","SP","171.5","137","9","0","4.66","1.36","89","169","64","27","29","29","11","0"
"Jose Leclerc","ATH","RP","66.1","76","3","3","3.81","1.27","28","53","31","8","63","0","3","0"
"Seranthony Dominguez","BAL","RP","61.9","67","3","4","3.83","1.25","26","53","24","8","61","0","3","0"
"Kevin Kelly","TB","RP","57.3","51","3","0","3.53","1.16","23","53","13","6","54","0","3","0"
"Tim Herrin","CLE","RP","62.4","65","3","0","3.41","1.25","24","53","25","5","61","0","3","0"
"JoJo Romero","STL","RP","60.6","57","3","2","3.72","1.27","25","56","21","7","59","0","3","0"
"Joey Cantillo","CLE","SP","85.3","88","5","0","3.99","1.33","38","75","38","10","27","14","5","0"
"Hunter Harvey","KC","RP","61.0","63","3","2","3.72","1.21","25","55","19","7","58","0","3","0"
"Triston McKenzie","CLE","SP","101.9","94","5","0","4.81","1.42","54","96","49","18","30","17","6","0"
"Jared Koenig","MIL","SP,RP","64.2","61","3","2","3.86","1.30","28","60","23","7","57","0","4","0"
"Jose Quintana","MIL","SP","128.6","105","8","0","4.37","1.37","62","128","48","16","23","23","8","0"
"Danny Coulombe","MIN","RP","49.2","51","3","1","3.62","1.21","20","44","16","6","48","0","2","0"
"Kyle Bradish","BAL","SP","16.7","17","1","0","3.48","1.17","6","14","5","2","8","2","1","0"
"Pierce Johnson","ATL","RP","64.3","77","4","3","3.71","1.29","27","56","27","7","62","0","3","0"
"Andre Pallante","STL","SP,RP","145.1","107","8","0","4.01","1.39","65","144","58","12","34","24","8","0"
"AJ Smith-Shawver","ATL","SP","68.9","71","4","0","4.21","1.30","32","61","29","10","35","9","3","0"
"Craig Kimbrel","","RP","46.9","57","3","3","3.97","1.28","21","38","22","6","40","0","3","0"
"Manuel Rodriguez","TB","RP","61.0","59","3","2","3.73","1.28","25","56","22","6","59","0","3","0"
"Michael Lorenzen","KC","SP","138.6","107","7","0","4.56","1.39","70","135","58","18","42","22","8","0"
"Aaron Bummer","ATL","RP","63.4","72","4","1","3.29","1.28","23","56","25","4","61","0","3","0"
"Miles Mikolas","STL","SP","175.4","123","10","0","4.48","1.26","87","187","34","26","31","31","11","0"
"Matt Brash","SEA","RP","41.8","54","2","2","3.16","1.21","15","32","18","4","41","0","2","0"
"Garrett Cleavinger","TB","RP","62.1","72","3","3","3.88","1.29","27","52","28","7","61","0","4","0"
"Simeon Woods Richardson","MIN","SP","128.6","109","7","0","4.46","1.34","64","125","48","18","26","25","8","0"
"Matt Festa","TEX","RP","16.5","16","1","0","4.25","1.28","8","15","6","2","16","0","1","0"
"Kenta Maeda","DET","SP,RP","73.1","67","3","0","4.37","1.25","36","71","21","11","41","5","4","0"
"Anthony Bender","MIA","RP","59.5","61","3","5","3.79","1.28","25","55","21","6","57","0","3","0"
"Lance Lynn","","SP","116.3","109","6","0","4.53","1.32","59","113","40","19","21","21","8","0"
"Fernando Cruz","NYY","RP","63.4","87","3","0","3.56","1.23","25","49","29","7","62","0","3","0"
"Brock Stewart","MIN","RP","52.3","63","3","1","3.71","1.26","22","44","22","6","48","0","2","0"
"Andrew Nardi","MIA","RP","55.3","68","3","3","3.69","1.24","23","47","22","7","53","0","3","0"
"Yariel Rodriguez","TOR","SP","97.4","101","5","0","4.06","1.30","44","84","43","12","45","12","5","0"
"Marcus Stroman","NYY","SP","125.8","95","7","0","4.41","1.37","62","127","45","16","35","20","7","0"
"Luis Garcia","LAD","RP","25.1","22","1","0","3.93","1.30","11","25","8","3","24","0","1","0"
"Jakob Junis","CLE","SP,RP","65.8","59","3","0","4.12","1.21","30","64","15","9","42","3","3","0"
"Tyson Miller","CHC","RP","62.5","58","3","1","4.04","1.25","28","58","21","8","58","0","3","0"
"Trevor Williams","WSH","SP","109.0","87","5","0","4.52","1.34","55","112","34","17","39","17","6","0"
"Logan Allen","CLE","SP","32.1","27","2","0","4.67","1.42","17","33","13","5","7","5","2","0"
"Reed Garrett","NYM","RP","65.3","76","4","2","3.71","1.31","27","56","30","7","61","0","4","0"
